,-25,-5,0,5,10,15
50,20.0,20.0,20.0,20.0,20.0,20.0
56,14.0,14.0,14.0,14.0,14.0,14.0
62,7.999999999999992,8.0,8.0,8.0,8.0,8.0
68,2.0,2.0,2.0,2.0,2.0,2.0
74,-3.99999996,-3.9999999999996,-4.0,-4.0,-4.0,-4.0
80,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
96,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0
76,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
86,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
66,4.0,4.0,4.0,4.0,4.0,4.0
83,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0
100,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0
120,-49.995,-50.0,-50.0,-49.99999995,-50.0,-50.0
145,-75.0,-74.999999925,-74.99999925,-74.9999999999925,-74.99999925,-74.925
157,-86.9913,-86.99991299999999,-86.13,-86.99991299999999,-78.3,-86.9999913
174,-93.60000000000001,-93.60000000000001,-102.96000000000001,-93.60000000000001,-103.999896,0.0
181,-109.89,-99.9,-99.9,-110.999889,-99.9,-110.999889
183,-113.0,-112.9999999887,-113.0,-112.99999999999886,-113.0,-113.0
168,-98.0,-98.0,-98.0,-98.0,-98.0,-98.0
163,-93.0,-93.0,-93.0,-93.0,-93.0,-93.0
178,-108.0,-107.99999999999892,-107.9999999892,-108.0,-108.0,-108.0
195,0.0,-123.75,-112.5,-112.5,0.0,-123.75
90,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
91,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0
71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
81,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0
88,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0
105,-35.0,-35.0,-34.99999999999965,-34.9999999965,-34.999999999965,-35.0
125,-55.0,-55.0,-54.999999999945,-54.99999999999945,-54.99999999999945,-55.0
150,-79.9992,-79.999999992,-79.9999999992,-79.999999992,-79.9999992,-79.9999999992
186,-114.84,-104.4,0.0,-104.4,0.0,-115.99884
173,-103.0,-103.0,-103.0,-103.0,-103.0,-103.0
188,-118.0,-118.0,-118.0,-118.0,-118.0,-118.0
198,-127.9999999872,-128.0,-128.0,-127.99999999999987,-128.0,-127.99999999999872
101,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0
111,-40.99999999999959,-41.0,-41.0,-40.99999999999999,-41.0,-40.999999999959
123,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0
130,-60.0,-60.0,-59.99999999999999,-59.9999999994,-59.9999999999994,-60.0
115,-44.999999955,-45.0,-45.0,-45.0,-44.999955,-45.0
112,-37.800000000000004,-41.99999958,-42.0,-37.800000000000004,-41.99999999999996,-41.9999999999958
89,-18.99981,-17.1,-18.99999999981,-18.9999981,-18.9999981,-18.99999999981
106,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0
118,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0
143,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0
153,-83.0,-83.0,-83.0,-83.0,-83.0,-83.0
148,-78.0,-78.0,-78.0,-78.0,-78.0,-78.0
180,-109.9999989,0.0,-108.9,-109.89,-109.989,0.0
61,9.0,9.0,9.0,9.0,9.0,9.0
45,14.985,15.0,14.9999985,15.0,14.9985,14.9985
60,9.9999,10.0,9.0,10.0,9.9999999999,9.99999
75,-4.999999999999995,-5.0,-5.0,-5.0,-4.9999999999995,-4.9999999999949996
72,-1.999999999998,-2.0,-1.9999999999999998,-2.0,-2.0,-1.999999998
84,-13.999999986,-14.0,-13.99999999986,-14.0,-13.9999999986,-13.9999999999986
103,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0
128,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0
138,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0
170,-99.99,-99.0,0.0,-99.0,-99.99,-99.99
26,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
32,1.9998,1.9999997999999999,1.9999999999999998,1.99998,1.9999997999999999,1.9999999998
43,12.987,13.0,12.99999987,13.0,12.9999987,12.99999987
54,0.0,16.0,15.999998399999999,16.0,15.984,15.984
65,4.999999995,5.0,4.99995,5.0,5.0,4.9999995
58,11.99999999988,12.0,12.0,12.0,11.9999999988,11.99999999988
55,14.999999985,15.0,14.999999999985,15.0,14.999999985,14.999999999985
59,10.9989,11.0,10.9999999989,11.0,10.99989,10.989
73,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
98,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
108,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0
70,0.0,0.0,0.0,0.0,0.0,0.0
85,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
82,-11.99999999988,-11.999988,-11.99988,-12.0,-11.999999999999998,-11.999988
93,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0
78,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
140,-70.0,-69.999993,-69.99999999993,-70.0,-70.0,-69.99993
137,-66.99933,-66.93299999999999,-66.9999999933,-66.99999933,0.0,-60.300000000000004
139,-68.31,-68.99931,-68.999999931,-68.999999999931,-69.0,-68.9999999931
146,-75.999999924,-75.99999999924,-68.4,-75.9999924,-76.0,-75.9999924
193,-123.0,-123.0,-123.0,-123.0,-122.99999999999987,-122.99999999999876
210,0.0,-126.0,0.0,0.0,0.0,0.0
110,-40.0,-40.0,-40.0,-40.0,-39.999999999959996,-39.9999999996
114,-43.9956,-43.56,-43.99956,-44.0,-43.99999999999999,-43.999999955999996
113,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0
133,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0
95,-25.0,-25.0,-24.9999999975,-24.99999999999975,-25.0,-25.0
102,-31.99968,-32.0,-32.0,-32.0,-31.99999999999968,0.0
121,-51.0,-51.0,-50.999999999949,-50.999999999949,-51.0,-50.9999999999949
126,-56.0,-56.0,-55.9999999999944,-55.9999999999944,-55.999999944,-56.0
155,-84.915,-84.999999915,-84.99999999915,-85.0,-84.9999999915,-84.999999915
175,-104.999999895,-104.895,0.0,-104.895,-94.5,-104.99895
192,0.0,-120.78,-109.8,-109.8,0.0,-120.78
194,-123.9876,-111.60000000000001,0.0,0.0,-111.60000000000001,-122.76
191,0.0,-119.79,0.0,-119.79,0.0,-120.879
208,-137.9999999999986,-137.9999999999862,-137.999999862,-137.999862,-138.0,-138.0
213,-142.99999999999858,-142.99857,-142.99857,-142.99999998570001,-143.0,-143.0
223,-152.99847,-152.999847,-152.99999999999986,-152.99847,-152.999847,-152.99847
240,0.0,0.0,0.0,0.0,0.0,0.0
165,-94.99999905,-94.999905,-94.05,-94.99905,0.0,-94.999999905
142,0.0,-71.28,-71.999999999928,-71.9999999928,-71.9999928,-71.9928
149,-78.99999999921,-78.999921,-78.9921,0.0,-78.999921,-78.21000000000001
151,-80.999999919,-80.99999999999991,-80.19,-80.999919,-80.9919,-80.19
205,0.0,0.0,0.0,0.0,0.0,0.0
141,-70.999999929,-71.0,-70.99929,-63.9,-71.0,-70.99999999999929
159,-88.999911,-88.911,0.0,0.0,-88.99911,0.0
171,0.0,-99.99,-99.99,-100.899,0.0,-100.999899
215,0.0,0.0,0.0,0.0,0.0,-130.5
64,5.994,6.0,5.99999999994,6.0,5.999994,5.99999999994
109,-38.9999999961,-38.999961,-38.999999961,-38.9999999999961,-38.99999961,-39.0
116,-46.0,-46.0,-45.99999999999954,-45.99999999999954,-46.0,-45.99999999999996
200,-117.0,0.0,-129.987,-117.0,-117.0,-117.0
135,-65.0,-64.999935,-64.999999935,-64.999999999935,-64.99999935,-64.9999999935
162,-92.0,-91.908,-91.08,-91.99999908,-82.8,-91.9999908
136,-66.0,-65.9934,-65.999999999934,-65.999934,-65.9999999999934,-65.99999934
190,0.0,0.0,-108.0,-108.0,-118.8,-108.0
46,16.0,16.0,16.0,16.0,16.0,16.0
42,11.999988,12.0,11.99999999999988,12.0,11.999999999988,11.999988
38,7.99992,8.0,8.0,8.0,7.999992,7.9999991999999995
