,-15,-10,-5,0,5,10,15
50,19.999999999979998,19.999999999979998,20.0,19.999998,19.999998,19.9999999998,20.0
47,17.0,16.999999998299998,17.0,16.99999999999983,16.9999983,17.0,17.0
40,9.9999999999999,9.99999,10.0,9.999999,9.999999,9.9999999,9.9999999999999
33,2.99999997,2.9999997,3.0,2.9999999997,2.9999999997,2.97,3.0
31,0.99999999999,0.999,1.0,0.9999,0.99999,0.99999999999,1.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
13,-16.83,-16.983,0.0,-16.983,-16.999983,-16.83,-16.99999999983
17,-12.999987,-12.9987,0.0,-12.870000000000001,-12.870000000000001,-12.99987,-12.9987
37,6.9999999299999995,6.93,7.0,6.99993,6.9999999299999995,6.9999999299999995,6.9999999299999995
49,18.99981,18.81,19.0,17.1,18.81,19.0,18.981
64,5.4,5.994,5.999994,0.0,5.994,5.9994,5.94
87,-16.9983,-15.3,-16.99983,0.0,-15.3,-16.99999983,-16.9983
107,-36.63,-36.9999963,-36.9963,-36.963,-36.63,-36.63,-36.63
106,-35.999999964,-35.964,-35.64,-35.964,-35.9999964,-35.9999964,-32.4
95,-24.75,-24.99975,-22.5,-24.75,0.0,-24.75,-24.9975
113,-42.99999957,-42.999999999957,-42.9999957,-42.99999957,-42.999957,-42.999999957,-42.9999999957
111,-40.59,-40.59,-40.999959,-40.9999959,-40.999999959,-40.959,-40.9959
123,-52.999999947,-52.947,-52.999999947,-52.99999947,-52.9999947,-52.999999947,-52.9947
118,-47.999999952,-48.0,-47.9999952,-47.9999952,-47.999999952,-47.999999952,-47.9999999952
131,-54.9,-60.9999939,-60.939,-60.39,-60.9999939,-60.99939,-60.39
148,-77.9922,-77.22,-77.9922,-77.999922,-77.9922,-77.9922,-77.922
163,-92.907,-92.99990700000001,-92.99907,-92.9999907,-92.99907,-83.7,-92.907
172,0.0,-100.98,-91.8,-91.8,0.0,0.0,0.0
41,10.989,10.89,11.0,10.989,10.989,10.9999989,10.99989
