,-15,-10,-5,0,5,10,15
50,20.0,20.0,20.0,20.0,20.0,19.999999999998998,20.0
51,19.0,19.0,19.0,19.0,19.0,19.0,19.0
52,18.0,17.99999994,18.0,18.0,17.999999999999996,17.999,17.999999999985
53,17.0,17.0,17.0,17.0,16.99999999999995,16.99999999999999,17.0
54,16.0,16.0,16.0,16.0,15.99999995,15.9999,15.99985
55,15.0,15.0,15.0,15.0,14.999999999995,14.9999,14.999999999985
56,14.0,14.0,14.0,14.0,14.0,14.0,14.0
61,9.0,9.0,9.0,9.0,8.999999999999499,8.99999999998,8.999999999749999
66,4.0,4.0,4.0,4.0,3.999999999999985,3.8,3.99999999999975
71,-1.0,-1.0,-1.0,-1.0,-1.015,-3.0,-1.025
58,12.0,12.0,12.0,12.0,12.0,11.99999999,12.0
75,-5.0,-5.0,-4.999999995,-5.0000000000001,-6.5,-25.0,-5.025
70,1.6079999999999826e-25,9.999999999999942e-25,4.9999999999999675e-26,0.0,-1.4999999999999948e-11,-0.01999999999999999,-0.25
57,13.0,13.00004,13.00000000000005,13.0,12.95,12.999,12.975
44,14.1046,14.0,13.9999995,14.0,14.000000000050001,14.2,13.97
31,0.9993,-19.0,-14.0,1.0,1.000000005,1.001,16.0
18,-37.0,-32.0,-27.0,-22.0,-17.0,-12.0,4.079999999999999
43,12.9999999999975,12.9999999999999,13.0,13.0,13.0,13.0,13.0
68,2.0,2.0,2.0,2.0,1.999985,1.9999997999999999,2.0
88,-18.0,-18.0,-18.00000005,-18.0000001,-18.15,-20.0,-18.00025
78,-8.0,-8.0,-8.0,-8.000000000010001,-9.5,-24.58,-8.0000000025
93,-22.99999999999995,-23.0,-23.05,-24.0,-38.0,-23.2,-48.0
85,-14.999999999999986,-15.0,-15.0,-15.001,-30.0,-17.0,-17.5
65,5.0,5.0,5.0,5.0,4.999999999999995,4.99998,4.99999975
63,7.0,7.0,7.0,7.0,6.999995,7.0,7.0
60,10.0,10.0,10.0,10.0,10.0,9.999,9.99999999999975
62,8.0000000000009,8.000001,8.0,8.0,3.0,-12.0,-17.0
41,10.99999975,10.99999,10.9995,11.0,11.0,11.000000000000007,11.0
73,-3.0,-3.0,-3.0,-3.0,-3.00015,-3.0002,-3.000000000025
48,18.0,18.0,18.0,18.0,18.0,18.0,18.0
49,17.5,19.0,18.995,19.0,18.7,18.992,18.999987
40,9.99975,9.9,9.999999999999499,10.0,10.0005,10.000001,10.000000005
72,-2.0,-1.99999999999,-1.999999999995,-2.0000999999999998,-3.5,-22.0,-4.5
59,11.0000000000003,11.0,11.0,11.0,10.9999995,10.0,10.999999975
67,3.0,3.0,3.0,3.0,2.9985,-17.0,2.999975
84,-13.9985,-14.0,-14.05,-24.0,-29.0,-34.0,-39.0
80,-10.0,-10.0,-10.0000005,-10.0001,-25.0,-12.0,-35.0
83,-13.0,-13.0,-13.00000000000005,-13.0000001,-13.015,-33.0,-13.0000000025
46,16.0,15.9999999999999,16.0,16.0,16.0,16.0,15.99999999999993
39,-16.0,7.0,8.95,9.0,9.5,9.000000000010001,9.0007
35,4.975,4.8,4.5,5.0,5.5,5.01,5.015
76,-6.0,-6.0,-6.0000000000005,-6.000000001,-7.5,-6.02,-8.5
81,-10.99999999999985,-11.0,-11.005,-11.01,-26.0,-31.0,-36.0
45,14.99999999985,14.9999,14.9995,15.0,15.000000000050001,15.0,14.999999995
69,1.0,1.0,1.00000005,1.0,-14.0,-19.0,0.75
42,-13.0,11.0,7.0,12.0,12.05,12.00006,12.001
77,-7.0,-6.9999,-7.005,-17.0,-7.015,-9.0,-32.0
64,6.000000000013,6.0,6.0,6.0,5.995,5.8,5.9975
33,-22.0,-17.0,2.85,3.0,3.0000000005,3.00001,4.5
36,6.0,4.0,5.995,6.0,6.0000000000005,6.000000001,6.00000000000013
37,4.5,-13.0,2.0,7.0,7.0005,7.01,8.1
38,7.999975,7.9998000000000005,7.999995,8.0,8.00005,8.0001,8.0
74,-3.999985,-3.9999999999,-3.995,-14.0,-19.0,-24.0,-6.5
90,-19.999999999995,-20.0,-20.005,-30.0,-21.5,-22.0,-45.0
82,-12.0,-12.0,-12.0005,-12.01,-13.5,-14.0,-12.25
28,-27.0,-22.0,-17.0,-12.0,3.0,-1.9,-1.85
