,-15,-10,-5,0,5,10,15
50,20.0,20.0,20.0,20.0,20.0,20.0,20.0
56,14.0,14.0,14.0,14.0,14.0,14.0,14.0
62,8.0,8.0,8.0,8.0,8.0001327,7.98,7.999975
68,2.0,2.0,2.0,2.0,2.0,2.0,2.0
74,-4.0,-3.999999999,-3.9999995,-4.01,-4.00015,-4.2,-4.025
60,10.0,10.0,10.0,10.0,10.0,10.0,9.99999999999975
46,16.0,16.0,16.0,16.0,16.0,16.0,16.0
36,6.0,5.999998,6.0,6.0,6.0,6.0,6.0
63,7.0,7.0,7.0,7.0,7.0,7.0,7.0
70,1.499999999999976e-55,9.999999999999852e-53,4.999999999999925e-56,0.0,-1.499999999999992e-24,-0.00019999999999999987,-0.0002499999999999998
85,-15.0,-15.0,-15.0,-15.00001,-15.00000015,-15.002,-17.5
80,-10.0,-10.0,-10.0,-10.0000000001,-10.000000000015,-10.00002,-10.0025
67,3.0,3.0,3.0,3.0,2.99999999985,2.99998,2.975
54,16.0,16.0,16.0,16.0,16.0,16.0,15.9999999985
41,11.0,10.9999999,11.0,11.0,11.0,11.0,11.0
28,-1.99602,-22.0,-3.5,-12.0,-1.999995,-1.9999,-2.0
23,-32.0,-27.0,-22.0,-17.0,-7.005,-6.9,-6.999998392
48,18.0,18.0,18.0,18.0,18.0,18.0,18.0
88,-18.0,-18.0,-18.0,-18.00000001,-18.0,-18.2,-18.000025
78,-8.0,-8.0,-8.0,-8.0,-8.0,-8.000000002,-8.000000000025
65,5.0,5.0,5.0,5.0,5.0,5.0,4.999975
58,12.0,12.0,12.0,12.0,12.0,12.0,12.0
64,6.0,6.0,6.0,6.0,5.9999999995,5.9999998,5.9999999999975
55,15.0,15.0,15.0,15.0,15.0,15.0,14.9999999999985
31,-24.0,-1.0,-14.0,1.0,1.0000005,1.0000001,1.0000000015
59,11.0,11.0,11.0,11.0,11.0,10.9999,10.9999975
51,19.0,19.0,19.0,19.0,19.0,19.0,19.0
83,-13.0,-13.0,-13.0,-13.0,-13.00000000000015,-13.002,-13.00000025
66,4.0,4.0,4.0,4.0,4.0,3.9999999999999982,3.9999999999974998
61,9.0,9.0,9.0,9.0,9.0,9.0,9.0
40,9.999999999975,9.9,9.999995,10.0,10.000000000000501,10.000000000001,10.000000000000005
35,-20.0,4.98,0.0,5.0,5.00000005,5.000000000000001,5.0000015
72,-2.0,-2.0,-2.0,-2.00001,-2.0015,-2.002,-27.0
69,1.0,1.0,1.00000000000005,1.0,0.9999999999999984,0.998,0.9999750000000001
81,-11.0,-11.0,-11.000000000050001,-11.00001,-11.0000000015,-31.0,-13.5
73,-3.0,-3.0,-3.0,-3.0,-3.0,-3.00002,-3.0
38,7.9999999999749996,7.999998,7.9999995,8.0,8.0,8.000000000010001,8.0
98,-28.0,-28.0,-28.000000000500002,-28.01,-28.015,-30.0,-28.025
75,-5.0,-5.0,-5.0,-5.000000000001,-5.000000015,-5.0000002,-30.0
53,17.0,17.0,17.0,17.0,17.0,17.0,17.0
52,18.0,17.999999999999993,18.0,18.0,18.0,17.999999999,17.99985
44,13.999975,13.99999999999999,13.995,14.0,14.00000000000005,14.00000000002,11.0
82,-12.0,-12.0,-12.00005,-22.0,-27.0,-32.0,-37.0
