,-15,-10,-5,0,5,10,15
50,20.0,20.0,19.99999999999995,20.0,19.99999999995,20.0,19.99999999985
51,19.0,19.0,19.0,19.0,19.0,19.0,19.0
52,18.0,17.9999999999994,18.0,18.0001458,13.0,17.9,17.999999999985
53,17.0,17.0,17.0,17.0,16.99999999999995,17.0,17.0
54,15.999929999999999,16.00000000000016,16.0,16.0,15.9999995,15.0,1.0
45,14.999985,15.0001439,14.99995,15.0,15.0,15.0,14.995
36,6.0,6.000000000000011,5.95,6.0,6.00000000000005,6.0000001,6.000000000013
31,-24.0,0.98,-14.0,1.0,6.0,1.01,1.0000286998
71,-0.999999999999985,-0.999999999999999,-0.999999999995,-0.999999999999128,-2.5,-21.0,-1.025
73,-3.0,-3.0,-3.0,-3.000000001,-3.015,-3.0002,-3.000025
60,10.0,10.0,10.0,10.0,9.9995,10.0,9.99975
55,15.0,15.0,15.0,15.0,15.0,15.0,13.5
37,6.75,7.0,6.9995,7.00000001539,7.5,7.001,7.0
39,6.5,-11.0,8.95,9.000000000000002,9.00000005,9.000001,9.0
41,11.0,10.999999999999,10.9995,11.0,11.0,11.0,11.000000000003
43,12.75,12.999999,12.99999999999995,13.000000000000263,13.000000005,13.00000004,13.0
63,7.0,7.0,7.0,7.0,6.9999995,6.99999998,6.9999999999749996
68,2.0,2.0,2.0,2.0,1.9999999999985,1.98,1.99999975
29,-3.5,-21.0,-16.0,-2.0,-0.995,-0.99999999,-1.0
30,-25.0,-20.0,-15.0,0.0,0.5,10.0,0.0014999999999999979
56,14.0,14.0,14.0,14.0,13.999999999999995,13.99,13.9999999975
70,1.499999999999992e-19,9.999999999999937e-27,4.999999999999978e-22,0.0,-1.5,-2.0,-0.024999999999999994
80,-9.9999999985,-9.999,-10.0005,-20.0,-25.0,-10.02,-35.0
75,-5.0,-4.99999999999999,-4.99999999995,-5.001,-5.15,-25.0,-30.0
67,3.000000015,3.1,3.00000005,3.0,-12.0,-17.0,0.5
46,16.0,16.0,16.0,16.0,16.0,16.0,16.0
58,12.0,12.0,12.0,12.0,12.0,12.0,11.9999999999975
28,-27.0,-22.0,-3.5,-2.00000000001,-1.9999500000000001,-2.0,-1.985
49,18.85,18.9999999,18.999999999499998,19.0,18.9999997,18.2,18.9987
78,-8.0,-8.0,-8.0,-8.000001,-8.015,-8.0000002,-8.00025
88,-18.0,-18.0,-18.05,-18.01,-33.0,-18.002,-43.0
48,17.999999999985,17.999999999899998,18.0,18.0,18.0,17.9999999994,18.0
42,11.999999975,11.99,11.995,12.0,12.05,12.6,12.00000001
66,4.0,4.0,4.0,4.0,3.9999999999999987,2.0,3.975
76,-5.999999999985,-6.0,-6.00000005,-16.0,-7.5,-8.0,-8.5
57,12.99999,13.00000004,13.000000005,13.0,8.0,12.0,-12.0
65,5.0,5.0,5.0,5.0,4.995,4.98,2.5
64,6.0000013,6.0000001,6.000000000000005,6.0,1.0,-14.0,3.5
40,-15.0,9.99,9.5,10.0,10.0005,10.01,10.005
44,-11.0,4.0,13.9995,14.0,14.0,14.02,14.0
98,-27.999999995,-28.0,-28.0005,-38.0,-43.0,-48.0,-30.5
93,-22.99999999995,-23.0,-23.05,-24.0,-38.0,-43.0,-48.0
83,-13.0,-13.0,-13.0000005,-13.000001,-14.5,-15.0,-38.0
77,-6.99985,-6.9999,-7.05,-17.0,-22.0,-27.0,-32.0
69,1.0,1.001,1.000000005,1.0,-14.0,-1.0,-1.5
61,9.0,9.0,9.0,9.0,8.995,8.999998,8.99999999999975
59,11.00000003,11.0000000008,11.000000005,11.0,10.9995,10.0,8.5
85,-14.999985,-15.0,-15.000005,-16.0,-30.0,-35.0,-40.0
82,-11.999985,-12.0,-12.5,-22.0,-27.0,-32.0,-37.0
62,8.000000009,8.00000001,8.0,8.0,3.0,-12.0,7.75
