,-15,-10,-5,0,5,10,15
50,19.9999985,19.99,19.999999999995,20.0,19.9995,19.99999999999999,19.85
51,18.987000000000002,19.0,18.99999997,19.0,18.9999999999995,18.999,18.9985
52,17.89,17.999999999994,17.9999999,18.0,17.5,17.0,16.5
53,17.0,17.0,17.0,17.0,16.999999999995,16.999999999,16.9999999999985
54,15.999999993,15.9999999998,16.0,16.0000000162,15.95,15.0,15.985
55,15.0,15.0,15.0000005,15.0,14.99995,14.999,13.5
56,13.99997,14.0,14.0,14.0,14.0,13.9,11.5
66,4.0000000015,4.0000000001,4.000000000001635,4.0,3.999999985,3.8,-21.0
63,7.0,7.0,7.0,7.0,6.999999995,6.998,6.75
60,10.00000000000005,10.000000001,10.0000000000167,10.0,9.99995,0.0,7.5
65,5.00000000015,5.00000000001,5.00000000001265,5.0,4.9999999999995,4.8,-20.0
70,1.607999999999996e-07,0.09999999999999998,0.0004999999999999996,0.0,-0.1499999999999999,-0.19999999999999996,-25.0
57,13.01529,13.000004,13.0005,13.0,12.5,3.0,-12.0
44,24.46,4.0,13.99995,14.0,14.5,14.2,13.9999999997
31,0.9299999999999997,-19.0,-14.0,1.0,6.0,11.0,16.0
18,-37.0,-32.0,-27.0,-22.0,-17.0,-12.0,4.079999999999999
43,12.75,12.99,12.9995,13.0,13.00005,13.000399999999999,13.0001367
68,2.0,2.0,2.0,2.0,1.9985,1.8,1.8697000000000001
88,-17.999995,-18.0,-18.5,-28.0,-33.0,-38.0,-47.230000000000004
108,-56.13,-38.0,-43.0,-48.0,-53.0,-58.0,-63.0
98,-27.95,-28.1215,-33.0,-38.0,-43.0,-48.0,-53.0
90,-19.5,-20.0,-25.0,-30.0,-35.0,-40.0,-45.0
64,6.0000000000013,6.000001,6.0005,6.0,5.5,-14.0,-19.0
71,-0.99999999985,-0.99999,-0.9995,-11.0,-2.5,-1.2,-26.0
62,8.000009,8.0000001,8.0005,8.0,7.5,7.8,-17.0
41,10.975,1.0,10.5,11.0,11.005,11.000008,11.0003
58,12.0,12.0,12.0,12.0,11.999995,11.99,11.975
78,-8.0,-7.999999999999,-8.0000000005,-8.001,-23.0,-10.0,-8.25
40,9.75,9.9,9.999999999999499,10.0,10.00005,10.1,10.05
45,14.99985,14.9999,14.995,15.0,15.0005,15.0,14.95
67,3.00000015,3.001,3.00005,3.0,-12.0,-17.0,-22.0
46,14.5,15.9999,15.999999995,16.0,16.0000000003,15.98,15.9993
48,17.99985,18.0,18.0,18.0,18.0,12.0,17.89
73,-3.0,-3.0,-3.0,-3.01,-4.5,-23.0,-28.0
61,9.0,9.0,9.0,9.0,8.999999999999995,8.8,8.75
72,-1.9985,-1.99999999999,-1.999999995,-12.0,-17.0,-4.0,-27.0
59,11.00003,11.00008,11.00000005,11.0,6.0,1.0,-14.0
83,-12.99999985,-13.0,-13.005,-13.1,-28.0,-15.0,-38.0
75,-3.5,-4.9,-4.5,-5.1,-6.5,-25.0,-30.0
28,-27.0,-22.0,-17.0,-12.0,-1.95,-1.0,13.0
81,-10.985,-11.0,-11.5,-12.0,-26.0,-31.0,-36.0
49,18.985,9.0,18.99999995,19.0,18.97,18.92,6.0
69,1.0000000015,2.0,1.0005,1.0,-0.5,-1.0,-24.0
26,-29.0,-24.0,-19.0,-14.0,1.0,-3.9,11.0
47,2.0,7.0,16.5,17.0,17.001,13.0,16.91
77,-6.985,-6.9,-12.0,-17.0,-22.0,-27.0,-32.0
74,-3.985,6.0,-3.5,-14.0,-19.0,-24.0,-29.0
42,-13.0,2.0,11.5,12.0,12.5,18.0,13.0
82,3.0,-12.0,-12.5,-22.0,-27.0,-32.0,-37.0
79,-7.5,-8.0,-14.0,-19.0,-24.0,-29.0,-34.0
76,-5.99999985,-5.0,-11.0,-16.0,-7.5,-26.0,-31.0
36,-19.0,-14.0,1.0,6.0,6.005,16.0,19.0
37,-18.0,-13.0,2.0,7.0,12.0,17.0,8.1
38,-17.0,-12.0,7.5,8.0,8.00005,9.0,8.09
39,-16.0,-11.0,4.0,9.0,14.0,10.0,16.0
86,-15.95,-16.0,-16.5,-26.0,-31.0,-36.0,-41.0
85,-14.85,-15.0,-20.0,-16.0,-30.0,-35.0,-40.0
80,-9.85,-9.0,-15.0,-20.0,-25.0,-30.0,-35.0
35,-20.0,-15.0,0.0,5.0,10.0,15.0,20.0
87,-16.5,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0
34,-21.0,-16.0,-11.0,4.0,9.0,5.0,19.0
30,-25.0,-20.0,-15.0,0.0,5.0,10.0,15.0
84,-12.5,-14.0,-19.0,-24.0,-29.0,-34.0,-39.0
93,-22.5,-23.0,-28.0,-33.0,-38.0,-43.0,-48.0
29,-26.0,-21.0,-16.0,-11.0,4.0,9.0,0.5
