,-25,-5,0,5,10,15
50,20.0,20.0,20.0,20.0,20.0,20.0
26,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0
2,-37.99999999962,-38.0,-37.9999999962,-38.0,-38.0,-38.0
13,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0
9,-31.0,-30.9999999999969,-30.999999969,-30.99999969,-30.999969,-31.0
15,-24.99999999975,-25.0,-24.999999999999975,-25.0,-24.999999999999996,-25.0
16,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
31,20.0,20.0,20.0,20.0,20.0,20.0
36,20.0,20.0,20.0,20.0,20.0,20.0
41,20.0,20.0,20.0,20.0,20.0,20.0
43,20.0,20.0,20.0,20.0,20.0,20.0
45,20.0,20.0,20.0,20.0,20.0,20.0
55,20.0,20.0,20.0,19.99999999999998,20.0,20.0
65,20.0,20.0,20.0,20.0,19.99999999999998,20.0
67,19.99999998,20.0,20.0,19.999999998,19.8,19.9998
69,19.9999998,20.0,19.9999999999998,19.999998,19.999998,19.98
71,-11.0,-11.0,-11.0,-11.0,-10.999999999999998,-11.0
68,20.0,20.0,20.0,20.0,20.0,19.99999999999998
88,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
108,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0
128,-68.0,-67.99999999999321,-68.0,-68.0,-68.0,-67.99999999999993
123,-63.0,-63.0,-62.999999999999936,-62.99999999999999,-63.0,-62.9999999999937
120,-59.9999999999994,-59.9999999994,-59.94,-59.999994,-59.99999999994,-59.994
-2,-42.0,-41.9999999999958,-42.0,-42.0,-42.0,-42.0
14,-25.974,-26.0,-25.999999974,-26.0,-25.9999999974,-25.740000000000002
11,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0
51,20.0,20.0,20.0,20.0,20.0,20.0
58,20.0,20.0,20.0,20.0,20.0,20.0
80,-19.99999999999998,-20.0,-19.999999999999996,-19.99999998,-19.99999998,-20.0
95,-34.999999965,-34.999999965,-34.99999999999965,-34.9999999965,-34.999999999965,-35.0
97,-36.99999999963,-36.9963,-37.0,-36.999999963,-36.963,-36.999629999999996
94,-33.99999966,-33.966,-33.999966,-33.9966,-33.99966,-33.99999999966
111,-50.999999949,-51.0,-50.9949,-50.9999999949,-50.9999999949,-50.99999949
118,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0
133,-73.0,-72.9999999999927,-73.0,-73.0,-73.0,-72.9999999999927
148,-87.99999999999999,-88.0,-87.99999999999912,-87.99999999999912,-87.99999999999991,-88.0
140,-79.2,-72.0,-79.2,-72.0,0.0,-79.92
3,-36.9999999999963,-37.0,-37.0,-37.0,-36.999999999999964,-36.99999999963
10,-30.0,-29.99999999997,-30.0,-29.99999999997,-29.9999999997,-30.0
-14,-53.9999999946,-54.0,-53.999999999946,-54.0,-54.0,-53.9999999946
-4,-44.0,-44.0,-43.99999999999999,-44.0,-44.0,-44.0
-10,-49.99999995,-49.999999999995,-49.9999999995,-49.99995,-49.9995,-49.99999999995
0,-39.999999999996,-40.0,-40.0,-36.0,-39.99999999999999,-39.99999999999996
7,-29.7,-32.9999967,-32.967,-29.7,0.0,-32.967
4,-35.999964,-35.9999999999964,-35.964,-35.9999999999964,-36.0,-35.99999999999964
21,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0
23,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0
28,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0
33,20.0,20.0,20.0,20.0,20.0,20.0
53,20.0,20.0,20.0,20.0,20.0,20.0
27,-13.0,-13.0,-13.0,-12.99999987,-13.0,-12.9999999987
-1,-40.99959,-41.0,-40.99999999999959,-40.959,-40.99959,-40.9959
61,20.0,20.0,20.0,20.0,20.0,20.0
75,-15.0,-15.0,-15.0,-14.9999985,-14.9999985,-14.99999985
105,-44.999955,-44.99999999955,-44.9999999955,-44.9999999999955,-44.9955,-44.99999955
112,-51.948,-51.948,-46.800000000000004,-51.9948,-51.99948,-51.9948
109,-48.51,-44.1,-48.9999951,-48.51,-44.1,-44.1
116,-55.944,-55.99999999999944,-55.9999944,-55.944,-55.9999944,-55.44
113,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0
138,-78.0,-78.0,-78.0,-77.99999999999922,-77.99999999999922,-78.0
143,-83.0,-83.0,-83.0,-83.0,-83.0,-83.0
150,-89.91,0.0,-81.0,-81.0,-89.9991,0.0
18,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0
-6,-45.54,-45.54,-45.954,-46.0,-45.99954,-45.99954
-5,-45.0,-45.0,-44.9999999955,-45.0,-45.0,-44.999955
-9,-48.9999951,-48.999951,-49.0,-48.99999999999995,-49.0,-48.99999999999995
-29,-68.931,-68.931,-68.931,-68.9999931,-68.31,-69.0
6,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0
20,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
35,19.9999999999998,20.0,20.0,20.0,20.0,20.0
40,20.0,20.0,20.0,19.99999999999998,20.0,20.0
37,19.99999999999998,20.0,19.9999999999998,19.9998,19.9998,19.9999998
34,19.999999999998,20.0,20.0,19.999999999979998,19.9999999999998,19.99999999999998
30,20.0,20.0,20.0,20.0,20.0,20.0
8,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0
-16,-50.4,0.0,-55.44,-50.4,-55.944,-55.999944
-19,-58.999999941,-58.99999999999994,-58.999999941,-58.99999941,-58.9999941,-58.99999941
1,-39.0,-38.99999999999996,-39.0,-39.0,-38.99999999999999,-39.0
60,20.0,20.0,20.0,20.0,19.999999999979998,20.0
62,20.0,20.0,19.9999999999998,20.0,19.99998,19.9998
64,19.9998,20.0,19.99999999999998,19.998,19.99999998,0.0
66,20.0,20.0,20.0,20.0,20.0,20.0
78,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0
98,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0
93,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0
90,-29.9999997,-29.9999999997,-29.99999997,-29.999999999997,-30.0,-29.999999999997
56,20.0,20.0,20.0,20.0,20.0,20.0
32,20.0,20.0,20.0,19.9999999998,19.9999999999998,19.9999999999998
-20,-59.99999999999999,-59.4,-59.9999999994,-59.94,-59.99994,-60.0
-35,-67.5,-67.5,0.0,-67.5,-67.5,-67.5
-30,-63.0,-69.9993,-69.999993,-69.3,-70.0,-69.99993
-28,0.0,0.0,-61.2,-61.2,-61.2,-61.2
-21,0.0,-54.9,-60.9939,-60.9939,-54.9,-60.9999939
-22,-61.99999999938,-61.9999999938,-61.99999999999999,-61.38,-61.999999999938,-61.38
-12,-51.999999948,-51.948,-51.99948,-51.9999948,-51.99999948,-51.9999948
-27,-60.300000000000004,-66.9933,-66.999933,-66.33,-66.999999933,-66.33
-7,-46.99999999999999,-46.999953,-46.99953,-46.999953,-46.99953,-46.9999999953
25,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
57,20.0,20.0,20.0,19.999999999979998,19.999999999998,19.9998
59,19.9999999998,20.0,19.999998,19.999998,19.999998,18.0
73,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0
-11,-50.49,0.0,-50.949,-50.9949,-50.9949,-45.9
5,-34.99999965,-34.999999999999964,-34.99965,-34.9999999999965,-35.0,-35.0
17,-22.999977,-22.99999999999977,-22.99977,0.0,-22.99999977,-20.7
83,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0
103,-42.99999999999999,-42.9999999999957,-43.0,-43.0,-43.0,-43.0
125,-58.5,-64.999999935,-64.99934999999999,-64.99934999999999,-58.5,-64.99999935
-15,-54.99999945,-54.99945,-54.45,-54.9945,-54.9999945,-54.99945
48,20.0,20.0,20.0,20.0,20.0,20.0
63,20.0,20.0,20.0,20.0,20.0,19.9999999999998
19,-21.0,-20.999999979000002,-21.0,-21.0,-20.999979,-20.99999999979
70,20.0,20.0,20.0,19.9999998,19.999999999979998,19.9999999998
72,-11.99999999988,-12.0,-11.99999999999988,-11.9999999988,-11.99988,-12.0
74,-13.986,-13.999999859999999,-13.9986,-14.0,-13.999999999999998,-13.99986
86,-25.999999999739998,-25.999999999974,-25.999999999974,-25.999974,-25.99999974,-25.999999999739998
46,20.0,20.0,20.0,20.0,20.0,20.0
52,20.0,20.0,20.0,19.99999998,19.9998,19.99999999999998
29,-11.0,-11.0,-11.0,-10.999999999999998,-11.0,-10.999989
-26,-65.9934,-66.0,-65.99999934,-66.0,-65.34,-65.934
-25,-64.99999935,-64.9999935,0.0,-64.935,-64.99999935,-64.99934999999999
-39,-71.10000000000001,-78.921,-78.21000000000001,-78.921,-78.921,-78.21000000000001
-42,-81.9918,0.0,-81.99918,-81.18,-81.918,-81.18
-17,-56.9999999943,-56.9999999943,-56.43,-56.999999999943,-56.999999943,-56.999943
39,19.9999998,20.0,20.0,19.9999999998,19.99999999999998,19.9999999999998
-34,-73.9926,-73.9926,-73.99925999999999,-73.999926,-73.99925999999999,-66.60000000000001
85,-24.99999999999975,-25.0,-24.999999999999975,-24.99999975,-25.0,-24.999999999999996
42,20.0,20.0,20.0,19.999999999999996,19.99998,19.999999999979998
38,20.0,20.0,20.0,20.0,20.0,20.0
77,-16.99999999999983,-17.0,-17.0,-16.999983,-16.983,-16.999999998299998
91,-30.99999999999969,-30.9969,-31.0,-30.999999969,-30.9999999999969,-30.999999999999996
153,-92.9999907,-93.0,-92.99999999999999,-92.9999907,-92.99999999999991,-93.0
170,-99.0,-99.0,-99.0,-99.0,0.0,-108.9
49,19.99999999999998,20.0,20.0,19.9998,19.9999999998,18.0
115,-54.999999945,-54.9999999999945,-54.99999999945,-49.5,-54.9999945,-54.45
-24,-63.9936,-63.36,-63.999936,-63.99999999999999,-63.99936,-63.999999936
54,19.99999999999998,20.0,20.0,19.99999999999998,19.999998,19.9998
-44,-83.99916,-83.9999916,-83.16,-83.999916,-83.99916,-83.916
22,-18.0,-18.0,-17.999999999999982,-18.0,-18.0,-18.0
96,-35.9999999964,-36.0,-35.999999999964,-35.9999999999964,-35.9999999964,-35.9999999964
-3,-38.7,0.0,-38.7,-38.7,-38.7,-42.57
-13,0.0,-52.47,-52.947,-52.99947,-52.47,-47.7
44,20.0,20.0,19.999999999998,19.99999998,19.9999999998,19.99998
24,-15.99999999999984,-16.0,-15.99999999984,-15.99999999984,-16.0,-15.99999999999984
82,-19.8,-21.99999999978,-21.99978,-21.999999977999998,-21.978,-21.978
84,-23.976,-23.76,-23.976,-23.999976,-23.9999976,-23.999976
101,-40.999959,-40.99999999999996,-40.9999959,-40.999999959,-40.99999999999959,-40.999999959
-54,-84.60000000000001,-93.06,-93.06,0.0,0.0,-93.906
-37,-76.23,-76.23,-76.9923,-76.99923,-69.3,-76.999999923
-40,-72.0,0.0,-79.99992,-79.2,-79.2,-72.0
-8,-43.2,0.0,-43.2,-47.952,0.0,-47.52
12,0.0,-27.72,-27.972,-27.9999972,-27.99972,-27.72
-45,0.0,-84.15,0.0,-76.5,-84.15,-76.5
102,-41.9958,-41.999958,-37.800000000000004,-41.999958,-37.800000000000004,-41.958
99,-38.99961,-38.961,-38.99999961,-38.99999961,-38.999961,-38.999999961
110,-50.0,-49.9999999999995,-49.995,-49.9995,-49.999999995,0.0
-64,-93.60000000000001,0.0,-103.99896,-93.60000000000001,0.0,-93.60000000000001
-77,0.0,0.0,0.0,-105.3,-105.3,-105.3
-70,0.0,0.0,0.0,0.0,-108.9,0.0
-50,-89.91,-81.0,0.0,0.0,-81.0,-89.1
-65,-103.95,-103.95,0.0,-94.5,0.0,0.0
-58,0.0,0.0,-88.2,0.0,0.0,-97.02
-41,0.0,-72.9,-72.9,0.0,0.0,0.0
100,-39.9999996,-39.99996,-39.9999999999996,-39.9999999999996,-39.99996,-39.999999999996
-18,0.0,-52.2,0.0,0.0,0.0,0.0
-32,-71.28,-71.9999928,-71.9928,-71.28,-71.28,-71.928
-33,-65.7,-65.7,-65.7,-65.7,-65.7,0.0
-52,-91.08,-82.8,-82.8,-82.8,-91.08,0.0
-74,0.0,0.0,0.0,-102.60000000000001,0.0,-102.60000000000001
-49,0.0,-80.10000000000001,-88.9911,-80.10000000000001,-88.99911,-80.10000000000001
-80,0.0,0.0,0.0,-108.0,-108.0,0.0
-68,-97.2,0.0,-97.2,0.0,0.0,0.0
-66,0.0,0.0,0.0,-95.4,0.0,0.0
-59,-89.10000000000001,0.0,-89.10000000000001,0.0,-98.901,-89.10000000000001
-47,-86.913,0.0,-86.913,-78.3,-78.3,0.0
-62,0.0,-91.8,0.0,-91.8,-91.8,-91.8
-82,0.0,-109.8,0.0,0.0,0.0,0.0
-85,0.0,0.0,0.0,0.0,-112.5,0.0
-91,0.0,-117.9,0.0,0.0,0.0,0.0
-94,0.0,0.0,0.0,0.0,0.0,-120.60000000000001
-57,-87.3,-87.3,-87.3,-87.3,0.0,-87.3
-67,0.0,-96.3,0.0,0.0,-96.3,-96.3
-84,0.0,0.0,0.0,-111.60000000000001,0.0,0.0
-60,0.0,-90.0,-90.0,0.0,-90.0,0.0
-31,-63.9,0.0,0.0,0.0,0.0,-63.9
-46,-85.14,-77.4,0.0,-77.4,0.0,-85.14
-43,0.0,-82.17,0.0,0.0,0.0,0.0
-69,0.0,-98.10000000000001,0.0,-98.10000000000001,0.0,0.0
-38,-77.922,0.0,0.0,0.0,0.0,0.0
-61,0.0,-99.99,0.0,0.0,-90.9,0.0
-48,0.0,0.0,-87.12,0.0,0.0,0.0
-72,-100.8,-100.8,-100.8,-100.8,-100.8,0.0
76,-15.999999999999984,-16.0,-15.999999999984,-15.99999999984,-16.0,-15.99999999984
47,20.0,20.0,20.0,19.9999999999998,19.9998,19.998
-55,-85.5,-85.5,0.0,0.0,0.0,0.0
87,0.0,-26.73,-26.9973,-26.9999999973,-26.73,-26.99973
130,-69.99993,0.0,-63.0,0.0,-69.993,-69.999993
89,-28.99999971,-28.99971,-28.999971,-28.99999999999997,-28.999999999971,-26.1
107,-46.9953,-46.999953,-46.53,-46.953,-46.9953,-46.9999953
124,-63.9936,-57.6,-63.999993599999996,-63.36,-63.936,-57.6
136,-75.999924,-75.24,-75.24,-75.9924,0.0,-75.999924
135,-74.9925,-67.5,-74.25,-74.99925,-74.925,-74.925
79,-18.99999981,-18.99981,-18.99999981,-18.999981,-18.99999999981,-18.81
