,-15,-10,-5,0,5,10,15
50,20.0,20.0,19.9999999999998,20.0,19.99998,19.99999999999998,20.0
36,6.0,6.0,6.0,6.0,6.0,6.0,6.0
22,-8.0,-8.0,-7.99999992,-8.0,-7.999999999999992,-7.99999999992,-7.99999992
8,-22.0,-22.0,-22.0,-22.0,-22.0,-21.99999999999978,-22.0
9,-21.0,-20.99999999999979,-21.0,-20.99999999999998,-21.0,-20.99999999979,-20.99999999999998
20,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
26,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
46,16.0,16.0,15.99984,15.9999999999984,15.9984,15.9999999984,15.99984
51,19.0,19.0,18.9981,18.9999999999981,18.981,18.9981,18.981
56,14.0,13.9999999986,12.6,13.999999859999999,12.6,13.86,13.986
58,12.0,11.9999999999988,11.99999988,11.99999999999988,11.999988,11.988,11.99988
60,9.999999999,10.0,0.0,9.999,9.9,0.0,9.9
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,-9.0,-9.9,0.0,0.0,0.0,-9.0,0.0
67,2.99997,2.99997,2.97,2.997,2.97,2.7,0.0
79,-8.1,-8.1,0.0,-8.1,0.0,-8.91,0.0
91,-18.900000000000002,-18.900000000000002,-18.900000000000002,0.0,-18.900000000000002,-18.900000000000002,0.0
83,-12.99987,-12.870000000000001,-12.870000000000001,0.0,-12.870000000000001,-12.9987,0.0
98,-27.72,-27.99972,-27.9972,-27.9972,-27.9972,-27.9972,-27.972
103,-32.9967,-29.7,-32.99967,-32.67,-32.967,-32.67,-32.67
113,-42.9957,-42.957,0.0,0.0,-42.957,-42.57,-42.57
133,-56.7,-56.7,-56.7,-56.7,-56.7,0.0,0.0
123,-47.7,-47.7,-52.47,-47.7,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,9.0,8.9999991,0.0,8.99991,8.91,0.0,8.1
47,17.0,17.0,0.0,16.83,15.3,15.3,16.83
33,3.0,3.0,3.0,3.0,3.0,3.0,3.0
19,-10.9999999999989,-10.999999999989,-11.0,-10.99999999989,-10.99989,-10.9999999989,-10.99999989
5,-25.0,-24.999999975,-24.99999975,-24.999999975,-24.999999999999975,-25.0,-24.999999999975
16,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0
21,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
41,11.0,11.0,10.99999999989,11.0,10.9999999989,11.0,10.99999999999989
43,13.0,13.0,12.999999999999998,13.0,13.0,13.0,12.999999999987
45,15.0,15.0,14.9999985,15.0,14.999999999985,14.999985,14.99999985
55,15.0,15.0,14.99985,14.99999985,14.99985,14.85,14.9985
65,4.995,5.0,4.5,4.99995,4.5,4.95,4.95
69,0.999,0.99999,0.0,0.9999,0.0,0.0,0.9
