,-25,-5,0,5,10,15
50,20.0,20.0,20.0,20.0,20.0,20.0
66,20.0,20.0,20.0,20.0,20.0,20.0
82,-21.9999999999978,-22.0,-22.0,-22.0,-22.0,-22.0
98,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0
74,-13.9999999986,-14.0,-13.9999999986,-14.0,-13.9999999999986,-14.0
70,20.0,20.0,19.999999999979998,19.999999998,20.0,20.0
81,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0
96,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0
111,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0
88,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
90,-30.0,-30.0,-30.0,-30.0,-30.0,-29.9999999999997
75,-14.99999999999985,-15.0,-14.99999999985,-15.0,-14.999999999999998,-15.0
80,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
97,-36.963,-36.9963,-36.63,-36.63,-33.300000000000004,-36.999963
99,-38.99999999999961,-38.999961,-38.99999999999961,-38.99999999999961,-38.999999999961,-39.0
116,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0
123,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0
133,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0
138,-78.0,-78.0,-78.0,-78.0,-78.0,-78.0
153,-93.0,-93.0,-93.0,-93.0,-93.0,-93.0
148,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0
165,-104.99999999999895,-104.9999999999895,-104.99999999895,-104.999999895,-105.0,-104.999999895
77,-16.983,-16.999999983,-16.9983,-16.999999998299998,-16.9999983,-17.0
89,-29.0,-28.999971,-28.9999999971,-28.9999971,-28.999999971,-28.9999971
65,19.9998,20.0,19.99998,20.0,20.0,20.0
76,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
91,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0
71,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0
86,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0
100,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
105,-45.0,-45.0,-45.0,-45.0,-44.99999955,-45.0
125,-65.0,-64.99999999999993,-65.0,-65.0,-65.0,-65.0
132,-71.99928,-71.28,-71.99999999927999,-71.28,-64.8,-71.9999999999928
109,-44.1,-48.9951,-49.0,-48.99999999999999,-48.999951,-48.999951
106,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0
83,-23.0,-23.0,-23.0,-22.99999999999998,-23.0,-23.0
118,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0
104,-39.6,-39.6,-43.999956,-43.9999999956,-43.99956,-43.99999956
121,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0
126,-66.0,-66.0,-66.0,-66.0,-66.0,-65.99999999999935
