,-15,-10,-5,0,5,10,15
50,19.999999850000002,19.9,19.999999999999996,20.0,19.95,19.99999,19.85
51,19.0,18.9999999999992,18.99999999999997,19.0,18.999999995,18.99999,19.0
52,17.89,17.994,17.999999999,18.0,17.95,17.0,17.999999850000002
53,17.0,16.9999999999996,17.0,17.0,16.95,16.999,16.85
54,16.0,15.9999999998,16.0,16.0,15.95,15.99,1.0
55,15.0,15.0,15.000000005,15.0,14.95,14.99,14.85
56,13.999999999999996,14.0,14.0,14.0,13.9999995,13.9,14.0
61,9.00000007,9.000000001,9.000005,9.0000000001539,8.9995,-11.0,9.0
66,4.00000015,4.000001,4.00000005,4.000001134,3.9985,-16.0,3.975
71,-0.99999999998392,-0.9999,-0.99995,-1.00000000001,-2.5,-21.0,-1.25
58,12.0,12.0,12.0,12.0,11.99995,11.99999,9.5
45,15.0147,14.9,14.95,15.0,15.05,15.0,14.95
40,11.37,0.0,9.95,10.0,10.005,20.0,10.5
35,8.170000000000002,-15.0,0.0,5.0,10.0,15.0,20.0
22,-33.0,-28.0,-23.0,-18.0,-13.0,2.0,8.89
39,-16.0,-11.0,4.0,9.0,9.5,9.001,9.245059
73,-3.0,-2.999999999,-2.999999999995,-2.99999999938,-4.5,-5.0,-5.5
83,-13.0,-13.0,-13.05,-13.1,-28.0,-15.0,-38.0
78,-7.999999999999985,-7.99999999,-8.0000000005,-8.0001,-8.15,-28.0,-33.0
68,2.0000000000000027,2.0,2.000000000000005,2.0,1.985,1.9998,-0.5
48,18.00000000147,17.99,17.99999999999995,18.0,18.0,17.9999994,17.99999989
76,-5.9985,-5.9999999999999,-11.0,-6.1,-21.0,-26.0,-6.000025
60,10.00005,20.0,10.0,10.0,5.0,9.9,7.5
62,8.0000009,8.001,8.0000000005,8.0,3.0,-12.0,-17.0
41,-14.0,10.0,10.95,11.0,11.05,11.00000000000008,11.00003
38,7.999999975,-12.0,3.0,8.0,8.0005,8.001,8.0009
63,7.0,7.0,7.0,7.0,6.9999995,6.98,6.9975
43,12.9975,12.99,12.999999995,13.0,13.000000000050001,13.000000004,12.9999999999
44,13.75,13.0,13.95,14.0,14.005,14.2,11.0
46,15.9985,15.9999,15.9995,16.0,16.3,15.8,15.999929999999999
42,9.5,2.0,11.9995,12.0,17.0,18.0,13.0
36,-19.0,4.0,1.0,6.0,6.005,6.01,6.13
88,-17.999999999499998,-18.0,-18.0005,-19.0,-33.0,-20.0,-43.0
67,3.0000014999999998,3.0000999999999998,3.000005,3.0,-12.0,1.0,-22.0
70,1.4999999999999952e-09,9.999999999999974e-10,4.999999999999989e-12,0.0,-1.5,-20.0,-25.0
65,5.0,5.0,5.000000000000001,5.0,4.95,4.8,4.75
49,18.9985,18.99,18.99999999999995,19.0,18.97,11.0,6.0
59,14.0,11.0,11.000005,11.0,10.5,1.0,-14.0
25,-30.0,-25.0,-20.0,-15.0,0.0,5.0,10.0
31,-24.0,-19.0,-14.0,1.0,6.0,11.0,2.5
81,-10.85,-11.0,-11.005,-12.0,-12.5,-31.0,-36.0
80,-9.99999999985,-9.99999999,-10.00000005,-20.0,-25.0,-30.0,-35.0
82,-10.5,-12.0,-12.5,-22.0,-27.0,-32.0,-37.0
79,-8.85,-8.0,-14.0,-19.0,-24.0,-29.0,-34.0
75,-4.9999999985,-4.99999999,-4.99999995,-6.0,-20.0,-25.0,-7.5
77,-6.9985,-6.99,-7.05,-17.0,-22.0,-27.0,-32.0
64,19.0,6.000000001,6.0005,6.0,1.0,-14.0,3.5
57,12.99,13.00000004,13.0000000005,13.0,8.0,3.0,10.5
85,-14.999985,-15.0,-15.5,-25.0,-30.0,-35.0,-40.0
28,-27.0,-22.0,-17.0,-12.0,-1.995,-1.9,13.0
30,-25.0,-2.0,-15.0,0.0,5.0,1.0,15.0
96,-25.5,-26.0,-31.0,-36.0,-41.0,-28.0,-51.0
93,-22.999995,-23.0,-23.5,-33.0,-38.0,-43.0,-48.0
72,-1.9999985,-1.0,-1.995,-12.0,-17.0,-22.0,-27.0
27,-28.0,-23.0,-18.0,-13.0,2.0,-2.0,12.0
90,-19.5,-20.0,-25.0,-30.0,-35.0,-22.0,-45.0
102,-31.5,-32.0,-37.0,-42.0,-47.0,-52.0,-57.0
89,-18.5,-19.0,-24.0,-29.0,-34.0,-39.0,-44.0
86,-15.95,-16.0,-21.0,-17.0,-31.0,-36.0,-41.0
74,11.0,-3.9,1.0,-14.0,-19.0,-24.0,-29.0
69,2.5,1.0001,1.000000005,1.0,-14.0,-19.0,-1.5
47,15.5,7.0,16.5,17.0,18.0,16.6,8.0
100,-25.0,-30.0,-30.5,-40.0,-45.0,-50.0,-55.0
105,-34.5,-35.0,-40.0,-45.0,-50.0,-55.0,-60.0
92,-21.5,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0
91,-16.0,-21.0,-26.0,-31.0,-36.0,-41.0,-46.0
98,-27.5,-28.0,-33.0,-29.0,-43.0,-48.0,-53.0
103,-32.95,-33.0,-38.0,-43.0,-48.0,-53.0,-58.0
37,-18.0,-13.0,2.0,7.0,12.0,17.0,7.11
108,-37.5,-38.0,-43.0,-48.0,-53.0,-58.0,-63.0
95,-24.5,-25.0,-30.0,-35.0,-40.0,-45.0,-50.0
34,-21.0,-16.0,-11.0,4.0,4.5,14.0,19.0
21,-34.0,-29.0,-24.0,-19.0,-14.0,1.0,-7.5
33,-22.0,-17.0,-12.0,3.0,3.005,13.0,18.0
