,-15,-10,-5,0,5,10,15
50,5.0,19.0,19.5,20.0,15.0,10.0,18.5
51,17.700000000000003,18.99992,16.0,19.0,18.95,18.99,4.0
52,17.89,12.0,17.9,18.000000000000146,17.95,8.0,3.0
53,16.9991,16.99999996,17.000001,17.0,16.9995,16.0,2.0
54,15.3,15.8,16.00000000000003,16.162,15.5,6.0,1.0
55,10.0,15.0,15.0005,15.01539,14.5,5.0,0.0
56,11.0,14.02,19.0,14.00000000001539,9.0,4.0,21.22
61,9.007,10.0,9.5,9.01539,8.995,-11.0,8.999999999749999
66,5.5,4.1,9.0,5.134,-11.0,-16.0,-21.0
71,15.08,9.0,4.0,-2.0,-16.0,-21.0,-26.0
58,12.0001621,12.000005999999999,12.00005,12.0,7.0,2.0,-13.0
45,29.7,14.0,10.0,15.0,15.05,15.0,10.0
40,23.700000000000003,0.0,9.5,10.0,15.0,20.0,15.0
35,8.170000000000002,-15.0,0.0,5.0,10.0,15.0,20.0
22,-33.0,-28.0,-23.0,-18.0,-13.0,2.0,8.89
39,-16.0,-11.0,4.0,9.0,14.0,10.0,11.450589999999998
73,-2.9999999985,-2.9,-2.995,-2.9379999999999997,-18.0,-23.0,-28.0
83,-12.99283,-13.0,-18.0,-23.0,-28.0,-33.0,-38.0
78,-6.473,-7.0,-8.05,-18.0,-23.0,-28.0,-33.0
68,2.00024423,2.0000999999999998,2.0005,2.0,-13.0,-18.0,-23.0
48,18.0147,17.9,17.99995,18.0,17.99,12.0,17.89
81,4.0,-11.0,-16.0,-11.1,-12.5,-31.0,-13.5
70,1.4999999999999958e-05,0.09999999999999998,0.5,0.0,-15.0,-20.0,-25.0
65,5.15,5.01,5.00005,5.0,0.0,-15.0,-20.0
49,4.0,18.9,18.5,19.0,16.0,11.0,6.0
63,7.0000011,7.001,7.0005,7.0,6.5,-13.0,4.5
62,8.09,18.0,8.5,8.0,7.5,-12.0,-17.0
36,5.75,-14.0,1.0,6.0,11.0,16.0,19.0
26,-29.0,-24.0,-19.0,-14.0,1.0,6.0,-3.85
46,1.0,15.0,11.0,16.0,19.0,15.998,9.0
69,16.0,2.0,6.0,1.0,-14.0,-19.0,-24.0
38,7.975,-12.0,3.0,8.0,8.5,9.0,17.0
25,-30.0,-25.0,-20.0,-15.0,0.0,5.0,10.0
76,9.0,4.0,-11.0,-16.0,-21.0,-26.0,-6.25
96,-25.5,-26.0,-31.0,-36.0,-41.0,-46.0,-51.0
60,10.000005,10.0000001,10.000005,10.0,5.0,0.0,-15.0
57,12.0,13.4,13.05,13.0,8.0,3.0,-12.0
98,-27.5,-28.0,-33.0,-38.0,-43.0,-48.0,-53.0
85,-13.5,-15.0,-20.0,-25.0,-30.0,-35.0,-40.0
80,-9.85,0.0,-15.0,-20.0,-25.0,-30.0,-35.0
67,3.15,4.0,3.5,3.0,-12.0,-17.0,-22.0
59,11.03,11.8,11.0005,11.0,10.5,1.0,-14.0
75,-3.5,-4.0,-4.5,-15.0,-20.0,-25.0,-30.0
41,-14.0,1.0,10.5,11.0,16.0,19.0,14.0
42,-13.0,2.0,7.0,12.0,17.0,12.6,13.0
47,2.0,7.0,16.95,17.0,17.1,13.0,8.0
44,-11.0,4.0,9.0,14.0,14.05,16.0,11.0
43,12.75,3.0,12.5,13.0,13.5,13.4,12.0
88,-17.5,-18.0,-23.0,-28.0,-33.0,-38.0,-43.0
64,19.0,16.0,11.0,6.0,1.0,-14.0,-19.0
30,-25.0,-20.0,-15.0,0.0,5.0,10.0,15.0
93,-22.5,-23.0,-28.0,-33.0,-38.0,-43.0,-48.0
72,-0.5,8.0,3.0,-12.0,-17.0,-22.0,-27.0
