,-15,-10,-5,0,5,10,15
50,20.0,19.99,20.0,20.0,19.995,19.9,19.85
51,19.0,18.92,18.9999997,19.000000000000277,18.9995,18.9,18.9999999985
52,16.9,17.994,17.999,32.580000000000005,13.0,8.0,3.0
53,17.01368,16.96,17.0001,17.000000003131937,16.999995,16.99999,15.5
54,15.993,15.999998,16.03,17.619999999999997,15.5,15.9,1.0
55,14.999999999999995,15.0,15.00005,15.000000000000002,14.99995,14.9,0.0
56,13.99997,14.0000000002,14.00000000000005,14.0000000001539,13.999995,13.0,-11.0
61,9.07,9.001,9.000005,9.0,8.95,7.0,9.0074
81,-9.5,-10.271,-16.0,-21.0,-26.0,-31.0,-36.0
76,-5.99998392,-5.0,-11.0,-16.0,-21.0,-26.0,-31.0
63,7.000000000000042,7.0,7.00000000005,7.00000000000001,6.995,-13.0,-18.0
45,13.5,5.0,17.816589999999998,15.0,15.05,15.0,10.0
47,16.85,7.0,12.0,18.539,17.01,13.0,16.1
49,18.985,18.99,18.95,19.00271998,18.999999999997,18.2,6.0
73,-2.999999999687196,-2.999999,-2.99999995,-3.1,-18.0,-5.0,-5.5
43,10.5,12.99,8.0,13.34964379,13.05,13.4,12.9999
37,4.5,-13.0,2.0,7.0,12.0,8.0,7.00000011
38,-17.0,7.8,7.5,8.0,13.0,8.00000000000001,8.09
65,5.0000015,15.0,5.0000005,5.0,0.0,3.0,-20.0
66,4.000015,4.0001,4.005,4.0,3.85,-16.0,1.5
58,12.000001,12.000000006,12.00000005,12.0,11.95,11.999,9.5
62,8.009,8.01,8.005,8.0,3.0,-12.0,-17.0
41,8.5,1.0,10.5,11.0,11.05,11.08,11.3
68,2.000000000015,2.0000000001,2.00000000005,2.0,0.5,1.98,-0.5
60,10.0005,10.0001,10.0000005,10.0,5.0,0.0,-15.0
27,-28.0,-23.0,-18.0,-13.0,2.0,-2.0,12.0
70,0.0014999999999999979,9.99999999999999e-07,4.999999999999997e-05,0.0,-15.0,-20.0,-25.0
57,12.9999,17.0,13.0005,13.0,12.95,3.0,-12.0
46,15.9985,6.0,15.5,16.0,16.0003,15.98,15.3
48,17.85,17.99,17.5,18.0,17.999999999998998,17.9994,16.9
40,-15.0,0.0,9.95,10.0,15.0,20.0,10.05
36,5.975,5.8,5.9995,6.0,6.0005,6.0001,19.0
32,-23.0,-18.0,-13.0,2.0,2.0005,12.0,2.15
59,14.0,11.0008,11.5,11.0,6.0,1.0,8.5
75,-4.985,-4.0,-4.5,-15.0,-20.0,-25.0,-30.0
71,0.5,-0.9999,-0.5,-1.0001,-16.0,-21.0,-26.0
44,-11.0,13.999,9.0,14.0,19.0,14.2,11.0
78,-7.9999999985,-7.9999,-8.00000005,-18.0,-23.0,-10.0,-33.0
29,-26.0,-21.0,-16.0,-11.0,-0.5,0.0,14.0
64,6.00013,6.1,11.0,6.0,1.0,-14.0,-19.0
35,2.5,-15.0,0.0,5.0,10.0,5.1,6.5
34,-21.0,-16.0,-11.0,4.0,4.5,14.0,5.5
33,-22.0,-17.0,-12.0,3.0,8.0,13.0,4.5
88,-17.9995,-18.0,-23.0,-28.0,-33.0,-38.0,-43.0
83,-12.985,-13.0,-18.0,-14.0,-28.0,-33.0,-38.0
23,-32.0,-27.0,-22.0,-17.0,-12.0,-6.0,8.0
42,-13.0,2.0,11.99995,12.0,12.5,18.0,12.1
39,-16.0,-11.0,8.5,9.0,14.0,9.0001,16.0
69,16.0,11.0,6.0,1.0,-0.5,-1.0,-24.0
80,-8.5,0.0,-15.0,-20.0,-25.0,-30.0,-35.0
21,-34.0,-29.0,-24.0,-19.0,-14.0,1.0,-7.5
93,-18.0,-23.0,-28.0,-33.0,-38.0,-43.0,-48.0
22,-33.0,-28.0,-23.0,-18.0,-13.0,2.0,-7.985
86,-11.0,-16.0,-21.0,-26.0,-31.0,-36.0,-41.0
67,3.015,4.0,3.5,3.0,-12.0,-17.0,-22.0
85,-13.5,-15.0,-20.0,-25.0,-30.0,-35.0,-40.0
72,-0.5,8.0,3.0,-12.0,-17.0,-22.0,-27.0
31,-24.0,-19.0,-14.0,1.0,6.0,11.0,2.5
28,-27.0,-22.0,-17.0,-12.0,3.0,8.0,-0.5
30,-25.0,-20.0,-15.0,0.0,5.0,10.0,15.0
