,-15,-10,-5,0,5,10,15
50,20.0,19.99,19.99999999995,20.0,19.9999995,19.999,19.99985
51,19.0,18.99999992,18.997,19.0,18.999995,18.9999999,18.985
52,16.9,17.99994,17.99999,18.0,17.995,17.0,17.985
53,17.0,16.99999999999996,18.0,17.0,16.995,16.99999,15.5
54,15.999993,15.9999999998,16.0,17.619999999999997,15.9999995,6.0,15.985
55,14.999999999999499,15.0,15.000005,15.000000000000155,14.999995,5.0,13.5
56,13.99999999999997,14.0002,14.5,14.0,13.999999995,13.99,13.75
61,9.0,9.0,9.0,9.0,8.999995,8.98,-16.0
66,5.5,4.000001,4.0000005,4.00000001134,3.99985,-16.0,-21.0
71,-0.999999999998392,-0.99,-0.995,-1.1,-16.0,-3.0,-26.0
58,12.000000000000016,12.0,12.0,12.0,11.995,11.99999,9.5
45,15.0000000147,14.9,14.99995,15.0,15.5,15.0,14.99995
40,23.700000000000003,0.0,9.99999995,10.0,10.000000000005,11.0,10.0005
35,8.170000000000002,-15.0,0.0,5.0,10.0,15.0,6.5
22,-33.0,-28.0,-6.259999999999998,-18.0,-13.0,2.0,-7.985
19,-36.0,-31.0,-26.0,-21.0,-2.59,-11.0,4.0
26,-29.0,-24.0,-19.0,-14.0,1.0,6.0,12.08
43,-12.0,3.0,12.999999999999499,13.0,13.05,13.00000004,14.366999999999999
68,2.0,2.0,2.0000000000000004,2.0,-13.0,-18.0,0.2919999999999998
93,-22.9788,-23.0,-23.5,-33.0,-38.0,-43.0,-48.0
83,-12.999999998878,-13.0,-13.0005,-23.0,-28.0,-33.0,-38.0
73,-3.0,-2.999999999999999,-2.9999999999999996,-3.00000000001,-3.15,-23.0,-5.5
63,7.0,7.0,7.0,7.0,6.995,6.98,6.9999975
41,10.99975,1.0,10.95,11.0,11.0005,11.008,11.000003
46,15.85,6.0,15.9999999995,16.0,16.000000003,15.999999998,15.999993
60,10.000000000050001,10.00000001,10.000005,10.0,9.95,9.99,-15.0
57,12.99,13.004,13.000005,13.0,12.5,3.0,-12.0
59,11.3,11.00000000008,11.0000005,11.0,6.0,1.0,-14.0
48,17.9985,17.99999999999999,17.99999999999995,18.0,17.99999999999,17.99999994,17.9999999999989
69,1.0015,1.01,1.5,1.0,-14.0,-19.0,-24.0
42,-13.0,2.0,7.0,12.0,17.0,18.0,13.0
44,-11.0,13.0,13.9995,14.0,14.005,14.2,13.97
78,-7.99999999999985,-7.999999999999,-8.000000000000501,-9.0,-23.0,-10.0,-10.5
98,-27.95,-28.0,-33.0,-38.0,-43.0,-48.0,-53.0
88,-17.99995,-18.0,-18.05,-28.0,-33.0,-20.0,-43.0
67,3.0000000015,3.01,3.05,3.0,-12.0,1.0,0.5
47,16.9999999985,7.0,16.95,17.0,17.000001,13.0,16.1
34,-21.0,-16.0,2.5,4.0,4.000000005,5.0,5.5
65,5.0000015,5.0001,5.000000005,5.0,4.5,-15.0,-20.0
49,17.5,18.9999,14.0,19.0,18.997,18.92,6.0
36,5.975,-14.0,1.0,6.0,6.005,7.0,19.0
38,-17.0,-12.0,7.5,8.0,13.0,8.01,8.9
62,8.0009,8.1,8.000005,8.0,7.95,-12.0,-17.0
31,-24.0,-19.0,-14.0,1.0,6.0,1.0001,2.5
70,0.0014999999999999979,9.999999999999986e-06,4.9999999999999945e-08,0.0,-0.0014999999999999979,-20.0,-25.0
85,-14.985,-15.0,-20.0,-25.0,-30.0,-35.0,-40.0
76,-4.5,-5.9,-11.0,-16.0,-21.0,-26.0,-31.0
72,-1.985,-1.0,-1.5,-12.0,-17.0,-22.0,-27.0
37,4.5,-13.0,2.0,7.0,12.0,17.0,7.0011
64,19.0,6.00001,6.0005,6.0,5.5,-14.0,-19.0
103,-32.5,-33.0,-38.0,-43.0,-48.0,-53.0,-58.0
77,-6.85,-6.0,-12.0,-17.0,-22.0,-27.0,-32.0
80,-9.85,0.0,-10.05,-20.0,-25.0,-30.0,-35.0
75,-4.85,-4.9,-4.5,-15.0,-20.0,-25.0,-30.0
39,-16.0,-11.0,8.5,9.0,9.5,10.0,16.0
84,1.0,-14.0,-14.5,-24.0,-29.0,-34.0,-39.0
81,-9.5,-11.0,-16.0,-21.0,-26.0,-31.0,-36.0
23,-32.0,-27.0,-22.0,-17.0,-12.0,-6.0,8.0
