,-10,-5,-2,0,2,5,10
50,19.999999999998,19.9999999999998,19.999999998,19.9999998,19.999999999998,19.99999999999998,20.0
61,20.0,19.999999999979998,20.0,19.999999999998,19.9999999999998,19.9999999999998,20.0
60,19.99998,18.0,19.9999998,19.8,0.0,0.0,20.0
59,18.0,19.9998,19.99999999999998,0.0,19.99998,0.0,19.999999999999996
58,0.0,0.0,19.9999999998,0.0,0.0,0.0,20.0
57,18.0,18.0,19.9998,18.0,19.98,0.0,20.0
56,0.0,0.0,20.01258,0.0,0.0,0.0,20.0
62,19.9999998,19.998,20.0,19.8,19.9999998,19.8,20.0
65,19.98,19.998,20.0,19.99998,19.999999999999996,19.9999999999998,20.0
73,-13.0,-12.9999999999987,-13.0,-12.99999999999987,-12.999999999999998,-12.9999999999987,-13.0
81,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0
83,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0
80,-20.0,-20.0,-20.0,-20.0,-20.0,-19.999999999999996,-20.0
92,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0
96,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0
111,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0
126,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0
133,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0
148,-87.99999999999999,-88.0,-88.0,-87.99999999999999,-88.0,-88.0,-87.99999999999999
145,-85.0,-84.9999999999915,-85.0,-84.9999999999915,-85.0,-85.0,-85.0
72,-12.0,-12.0,-12.0,-12.0,-11.999999999999988,-12.0,-12.0
86,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0
87,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0
88,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
91,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0
93,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0
100,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
105,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0
115,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0
112,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0
124,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0
116,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0
128,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0
143,-82.99999999917,-82.9999999999917,-82.99999999999999,-83.0,-83.0,-83.0,-82.99999999999999
158,-97.99999999999902,-97.99999999999902,-97.999999902,-97.999999902,-97.9999999999902,-97.99999902,-98.0
173,-112.9887,-111.87,-112.999887,-113.0,-112.999999887,-112.99999887,-112.999887
178,-117.9999999882,-117.9999882,-117.9999882,-117.999999882,-117.999882,-117.99999882,-117.99882
79,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0
78,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0
69,19.9999998,19.999999999998,20.0,19.9998,19.9999999999998,19.9999998,20.0
66,19.999999998,19.999999999999996,20.0,19.9999999999998,20.0,20.0,20.0
63,19.99998,20.0,20.0,19.99998,20.0,19.9998,20.0
68,19.8,20.0,20.0,19.9999999999998,19.999999998,19.99998,20.0
70,19.999999999999996,19.99999998,19.999999999998,19.98,19.9998,19.998,20.0
77,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0
84,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
98,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0
118,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0
121,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0
119,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0
103,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0
101,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0
97,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0
