,-15,-10,-5,0,5,10,15
50,19.8,19.8,18.0,20.0,19.8,19.98,0.0
51,17.1,18.81,18.81,19.0,18.81,18.81,17.1
52,17.82,17.9982,0.0,18.0,0.0,0.0,0.0
53,16.83,15.3,0.0,17.0,15.3,0.0,16.983
54,14.4,14.4,14.4,16.0,0.0,0.0,0.0
55,14.9985,14.85,0.0,15.0,13.5,13.5,14.85
56,12.6,13.986,13.986,14.0,0.0,13.86,13.986
61,0.0,8.1,8.9991,9.0,0.0,0.0,0.0
66,3.6,3.996,3.999996,4.0,3.6,3.6,0.0
71,-0.999,0.0,-0.9,-1.0,-0.9999,-0.99,-0.9
73,-2.99999997,-3.0,-3.0,-2.999999999999997,-2.99999997,-2.99999997,-2.999999997
85,-14.9985,-14.99985,-14.9999999985,-14.9999985,-14.985,-14.99985,-14.85
100,-27.0,0.0,-27.0,-27.0,-27.0,-29.7,0.0
110,-36.0,-36.0,0.0,0.0,-36.0,0.0,-36.0
97,-24.3,0.0,-26.73,-24.3,-24.3,0.0,-26.73
94,-23.976,0.0,-23.76,-21.6,-23.76,-23.76,0.0
81,-10.89,-9.9,-10.89,-10.89,-9.9,-10.989,-10.9989
93,-22.977,-22.997700000000002,-22.999977,-22.997700000000002,-22.999999977,-22.997700000000002,-22.99977
108,-37.99999962,-37.962,-37.962,-37.99962,-37.9962,-37.62,-37.99962
133,-62.9937,-62.99937,-62.999937,-62.9937,-62.937,-62.99937,-62.99999937
153,-82.917,-74.7,-82.917,-82.9917,-82.99916999999999,-82.999917,0.0
168,-88.2,-88.2,-97.9902,-88.2,-88.2,0.0,-97.9902
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,-9.999,-9.99999,-9.9999,-9.9999,-9.999,-9.999,-9.99
75,-4.9995,-4.5,-4.95,-4.99999999995,-4.95,-4.5,-4.995
95,0.0,-22.5,0.0,-22.5,0.0,-24.975,-24.9975
87,0.0,0.0,0.0,-15.3,-16.83,-15.3,-16.99983
89,0.0,-17.1,-17.1,-17.1,-17.1,0.0,-17.1
106,-35.964,0.0,0.0,-32.4,0.0,-32.4,-35.964
118,-47.952,-47.9952,-47.999952,-47.952,-47.9952,-47.9952,-47.9999952
128,-57.942,-57.942,-57.42,-57.9942,-57.99999942,-57.999942,-52.2
143,-72.9927,-72.9927,-72.999927,-72.9999999927,-72.99927,-72.92699999999999,-72.92699999999999
148,-77.22,-70.2,0.0,-77.22,-77.9922,-77.922,-77.9999922
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,-19.9999998,-19.98,-19.8,-19.9998,-19.998,-18.0,-19.9999998
115,0.0,0.0,-44.955,-40.5,0.0,-44.55,0.0
127,0.0,-51.300000000000004,0.0,0.0,0.0,0.0,-51.300000000000004
119,-44.1,-48.51,-44.1,0.0,0.0,-44.1,0.0
131,-54.9,0.0,0.0,-54.9,0.0,-60.39,0.0
158,-87.912,-87.99912,-87.12,-87.12,-87.12,0.0,-87.999912
163,0.0,0.0,-92.07,0.0,0.0,0.0,-92.99907
104,-33.99966,-33.66,-30.6,-30.6,-30.6,-33.9966,-30.6
91,-20.79,-20.9979,-18.900000000000002,0.0,0.0,-20.999979,-18.900000000000002
103,-32.99999967,-32.99967,-32.9967,-32.9999967,-32.9967,-32.9999967,-32.967
65,4.999999999999995,4.95,4.99999995,4.999999999999999,4.5,4.999995,4.995
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,-6.3,-6.3,-6.3,0.0,-6.3,0.0,-6.99993
64,0.0,5.4,5.99994,5.994,5.4,0.0,0.0
48,0.0,0.0,0.0,17.982,0.0,0.0,0.0
58,0.0,11.88,0.0,12.0,0.0,11.88,10.8
68,1.98,1.998,0.0,1.999999999998,1.8,1.98,1.8
78,-7.999992,-7.2,-7.992,-7.9999991999999995,-7.92,-7.2,-7.92
98,-27.9999972,-27.9972,-27.972,-27.972,-27.972,-27.999972,-27.972
60,9.9999,9.9,9.99,10.0,0.0,0.0,9.99
62,0.0,0.0,7.2,7.99992,0.0,0.0,0.0
59,0.0,0.0,10.89,10.989,9.9,0.0,0.0
63,6.93,0.0,0.0,7.0,6.3,6.3,6.93
43,0.0,0.0,0.0,12.99999987,0.0,0.0,0.0
44,0.0,0.0,0.0,13.999999986,0.0,0.0,0.0
45,0.0,0.0,13.5,14.9999999985,0.0,0.0,0.0
46,14.4,0.0,0.0,16.0,0.0,0.0,0.0
67,2.7,0.0,2.997,2.99997,2.97,0.0,0.0
83,-12.999999999987,-12.9987,-11.700000000000001,-12.99987,-12.99987,-12.987,-12.9987
88,-17.82,-17.82,-17.9982,-17.82,-17.982,-16.2,-16.2
107,0.0,0.0,-36.963,-33.300000000000004,-33.300000000000004,-33.300000000000004,0.0
109,0.0,-35.1,-38.61,-38.961,0.0,-35.1,-35.1
126,-50.4,0.0,0.0,0.0,-55.44,0.0,0.0
113,-42.99957,-42.9957,-42.9999957,-42.9957,-42.99957,-42.99957,-42.9957
138,-67.9932,-61.2,-67.9999932,-67.932,-61.2,0.0,-67.999932
74,-3.96,-3.96,-3.6,0.0,-3.996,0.0,0.0
84,0.0,0.0,0.0,-12.6,0.0,0.0,-12.6
101,0.0,-27.900000000000002,0.0,-27.900000000000002,-30.969,-30.969,-30.69
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,-28.971,-28.71,-28.71,-28.971,0.0,0.0,-28.71
116,-41.4,0.0,0.0,-41.4,-45.995400000000004,0.0,-45.54
76,-5.94,-5.94,-5.999994,-5.9994,-5.4,-5.94,-5.4
92,0.0,0.0,0.0,0.0,-19.8,-21.99978,-21.9978
123,-52.947,-52.947,-52.47,-52.947,-52.9999947,-52.9947,-52.99999947
135,0.0,0.0,-58.5,0.0,0.0,0.0,-58.5
105,0.0,-31.5,-31.5,0.0,-34.65,-34.65,-34.965
122,-46.800000000000004,-46.800000000000004,0.0,0.0,-46.800000000000004,-46.800000000000004,0.0
134,0.0,0.0,-57.6,0.0,0.0,0.0,-57.6
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,10.99999999989,0.0,9.9,10.89
82,0.0,-10.8,-10.8,0.0,0.0,-10.8,-11.9988
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-1.98,-1.98,0.0,-1.99998,-1.8,0.0,-1.9998
36,0.0,0.0,0.0,5.994,0.0,0.0,0.0
37,0.0,0.0,0.0,6.993,0.0,0.0,0.0
38,0.0,0.0,0.0,7.99992,0.0,0.0,0.0
39,0.0,8.1,0.0,8.999991,0.0,0.0,0.0
40,0.0,0.0,0.0,9.99999,0.0,0.0,9.0
96,0.0,-23.400000000000002,0.0,0.0,-25.740000000000002,-25.974,-23.400000000000002
112,-41.99958,-37.800000000000004,-41.58,-37.800000000000004,-37.800000000000004,0.0,0.0
129,0.0,-53.1,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,-45.9,-45.9,-45.9,0.0,0.0
125,0.0,0.0,-49.5,-49.5,-49.5,0.0,0.0
111,-40.959,-40.59,-36.9,0.0,-36.9,0.0,-40.59
173,0.0,0.0,-101.97,-92.7,0.0,-101.97,-92.7
193,-110.7,-110.7,-110.7,-121.77,-122.877,0.0,0.0
198,-115.2,-126.72,-115.2,0.0,-126.72,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,-55.800000000000004,-55.800000000000004,0.0,0.0
151,0.0,-72.9,0.0,-72.9,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,-14.4,0.0,-14.4,0.0,-14.4,-15.84,0.0
120,0.0,0.0,-45.0,0.0,0.0,0.0,-45.0
137,0.0,0.0,0.0,0.0,0.0,-60.300000000000004,0.0
149,0.0,-71.10000000000001,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,-63.9
188,0.0,0.0,0.0,-116.82,-106.2,-106.2,0.0
203,-119.7,0.0,0.0,0.0,0.0,-119.7,-119.7
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,18.981,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,-28.8,-28.8
114,0.0,-39.6,-39.6,-39.6,0.0,-43.56,-39.6
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,12.870000000000001,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.9,0.0,0.99,0.9999998999999999,0.0,0.0,0.0
42,0.0,0.0,0.0,11.9988,0.0,0.0,0.0
47,0.0,0.0,0.0,16.83,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.9999,0.0,0.0,0.0,0.0
28,0.0,0.0,-1.8,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,-4.5,0.0
144,0.0,0.0,0.0,0.0,-66.60000000000001,0.0,0.0
183,0.0,0.0,0.0,0.0,-101.7,-112.887,0.0
208,-124.2,-124.2,0.0,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,-97.2,-97.2,0.0,0.0,0.0,-97.2,0.0
139,0.0,-62.1,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,-73.8,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,-84.60000000000001
181,0.0,-99.9,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,-133.20000000000002,0.0,0.0
228,0.0,0.0,-142.20000000000002,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,-42.300000000000004,-42.300000000000004,0.0,0.0
124,-48.6,0.0,0.0,0.0,0.0,0.0,0.0
