,-15,-10,-5,0,5,10,15
50,19.999999999999986,19.99999999999999,20.0,20.0,20.0,19.99999,19.999999985
54,16.0,15.999999999998,16.0,16.0,15.999999995,15.99999999999999,15.9999985
58,12.0000000001,12.00000000006,12.0,12.0,11.95,11.9,9.5
59,11.0,11.0000000000008,11.0,11.000000000000002,11.0,10.9999999,10.9999999975
60,10.0000000167,10.0000001,10.0,10.0,9.999995,9.99,10.000641
45,15.000000138899999,14.99999999,14.99995,15.0,15.000005,15.0,14.999999999949999
34,8.790000000000003,-16.0,-11.0,4.0,4.000000000000001,4.0000001,4.000000000000002
24,-31.0,-26.0,-21.0,-16.0,-6.5,4.0,10.89
46,1.0,15.0,15.99995,16.0,16.3,15.998,31.5
65,5.00000000000015,5.000001,5.00000000005,5.0,4.5,4.8,4.93
82,-11.9904,-11.8866,-12.005,-13.0,-13.5,-32.0,-37.0
75,-4.999985,-4.999999,-4.99995,-15.0,-20.0,-24.01,-30.0
96,-27.444,-26.0,-31.0,-36.0,-41.0,-46.0,-51.0
71,-0.999999999985,-0.99999977373,-0.999995,-1.1,-2.5,-21.0,-1.25
74,-3.99999998554,-3.99999,-3.9995,-4.001,-19.0,-24.0,-29.0
69,1.0000000001608,1.0,1.00000000005,1.0,-0.5,0.8,0.9975
62,8.000000000001629,8.0000000000001,8.0,8.0,7.5,-12.0,7.75
49,19.0,18.999999999899998,19.0,19.0,19.0,18.9999999999992,18.999999999987
39,9.0000000000803,-11.0,9.0,9.0,9.0000000005,9.0000000000001,9.0000000000007
28,-27.0,-22.0,-17.0,-12.0,3.0,13.579999999999998,-1.9999985
42,11.975,11.0,11.995,12.0,12.05,18.0,12.1
53,17.0,16.999996,17.000000000001002,17.0,16.9995,16.99,15.5
70,1.4999999999999958e-05,9.999999999999984e-09,4.999999999999993e-06,0.0,-0.014999999999999986,-20.0,-25.0
44,13.9999975,13.9999999,13.9999999995,14.0,14.0,14.00000002,13.9999999997
55,14.999999999995,15.0,15.0,15.0,14.9995,14.9999,14.985
81,-10.999999999999986,-11.0,-11.5,-11.0001,-26.0,-31.0,-13.5
77,-6.999999985,-6.999999,-7.0005,-7.1,-22.0,-27.0,-32.0
61,9.000000007,9.00000000000001,9.000000000005,9.0,8.5,7.0,8.75
67,3.0,3.00000001,3.0000000005,3.0,1.5,2.998,-22.0
64,6.00000000013,6.000000000001,6.0,6.0,5.9995,5.8,5.75
47,16.985,16.9,16.99999995,17.0,17.0001,16.6,16.991
66,4.000000000015,4.000000001,4.000005,4.0,3.85,2.0,3.9975
41,10.75,10.99,6.0,11.0,11.005,11.08,11.3
56,13.9999999999997,14.000002,14.0000005,14.0,13.95,13.999,13.999975
52,17.999989,17.999994,17.999999999998998,18.0,13.0,8.0,3.0
35,4.9999975,3.0,4.9999995,5.0,5.005,5.000001,5.00000000015
86,-15.5,-16.0,-16.5,-26.0,-31.0,-18.0,-41.0
97,-26.95,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0
57,12.99999999,13.000399999999999,13.00000005,13.0,12.5,12.9,12.975
63,7.000011,7.0000000000001,7.0005,7.0,2.0,5.0,4.5
80,-9.985,-9.99999999,-10.5,-20.0,-25.0,-30.0,-35.0
36,3.5,4.0,1.0,6.0,6.5,6.01,19.0
73,-2.85,-2.0,-2.95,-13.0,-4.5,-23.0,-28.0
68,2.0000014999999998,2.0000999999999998,2.00005,2.0,0.5,0.0,-23.0
40,9.999975,9.99999,9.99999995,10.0,10.00005,10.01,10.0005
72,-1.99999999999985,-1.99999999999999,-1.99999995,-2.1,-17.0,-22.0,-4.5
51,18.999987,18.999999999992,18.999997,19.0,18.95,18.0,4.0
76,-5.999985,-5.99999,-6.00005,-6.001,-21.0,-26.0,-6.25
48,17.99999999999985,17.99,17.999999999499998,18.0,17.9,17.9994,16.9
37,4.5,-13.0,2.0,7.0,7.005,7.1,18.0
84,-13.985,-14.0,-19.0,-24.0,-29.0,-34.0,-39.0
92,-21.5,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0
43,10.5,12.99,12.995,13.0,13.05,13.04,12.9
30,-2.5,-20.0,-15.0,0.0,4.999999999999997e-05,0.009999999999999995,0.014999999999999986
79,-8.9985,-8.999,-9.00005,-19.0,-24.0,-29.0,-34.0
20,-35.0,-30.0,-25.0,-20.0,-10.000005,0.0,-8.5
29,-26.0,-21.0,-16.0,-11.0,-0.5,-0.99999999999,-0.9984999999999999
31,-24.0,-19.0,-14.0,1.0,6.0,2.0,1.015
89,-18.5,-19.0,-19.05,-29.0,-34.0,-39.0,-44.0
91,-20.95,-21.0,-26.0,-31.0,-36.0,-41.0,-46.0
25,-30.0,-25.0,-20.0,-15.0,-4.5,-4.99999,10.0
32,-23.0,-18.0,-13.0,2.0,7.0,12.0,3.5
19,-36.0,-31.0,-26.0,-21.0,-16.0,-11.0,-10.85
33,0.5,-17.0,1.5,3.0,8.0,3.01,18.0
38,-17.0,-12.0,7.9999995,8.0,13.0,9.0,8.9
85,-14.999985,-15.0,-20.0,-25.0,-30.0,-35.0,-40.0
87,-16.995,-17.0,-17.05,-27.0,-32.0,-37.0,-42.0
90,-15.0,-20.0,-25.0,-21.0,-35.0,-40.0,-45.0
95,-20.0,-25.0,-25.5,-35.0,-40.0,-45.0,-50.0
101,-30.5,-31.0,-36.0,-41.0,-46.0,-51.0,-56.0
88,-17.5,-18.0,-23.0,-28.0,-33.0,-38.0,-43.0
