,-15,-10,-5,0,5,10,15
50,5.0,19.0,19.95,20.0,15.0,10.0,18.5
52,17.89,17.9994,17.99999,18.0,13.0,8.0,16.5
54,9.0,16.01438,19.0,16.0,11.0,15.0,15.85
47,15.5,31.39,16.5,17.0,17.0001,16.6,16.991
41,8.5,12.196,10.99995,11.0,16.0,19.0,14.0
31,-24.0,2.240000000000002,-14.0,1.0,6.0,2.0,16.0
19,-36.0,-26.77,-26.0,-21.0,-16.0,-11.0,-10.9998392
37,4.5,-13.0,2.0,7.0,12.0,17.0,7.000173
60,10.05,11.0,10.005,10.0,5.0,9.9999,11.55
80,-8.5,2.34,-15.0,-20.0,-25.0,-30.0,-35.0
71,-0.9983812,0.0,-0.5,-11.0,-16.0,-21.0,-26.0
57,28.290000000000003,13.0000000004,13.0,13.0,12.995,12.99,-12.0
51,19.0000149,18.999992,18.99997,19.0,14.0,18.0,4.0
45,24.840000000000003,5.0,14.5,15.0,20.0,15.0,14.995
29,0.6147999999999989,-21.0,-16.0,-11.0,4.0,9.0,14.0
8,-47.0,-42.0,-37.0,-32.0,-27.0,-15.52,-17.0
23,-32.0,-27.0,-22.0,-17.0,-12.0,8.579999999999998,8.0
42,11.99975,11.0,7.0,12.0,12.005,13.517999999999999,13.0
62,8.279459,8.01,8.000005,8.0,3.0,8.0367,-17.0
78,-6.5,-6.678520000000001,-13.0,-18.0,-23.0,-28.0,-33.0
36,5.99975,-14.0,1.0,6.0,6.5,6.0001,19.0
75,-3.5,-4.9,-4.5,-6.0,-6.5,-25.0,-7.5
66,4.000015,4.1,9.0,4.0,-11.0,-16.0,-21.0
44,13.975,13.9,13.995,14.0,19.0,14.2,11.0
39,-16.0,-11.0,4.0,9.0,9.05,10.0,9.07
43,-12.0,3.0,12.5,13.0,13.5,13.04,12.0
58,12.001,12.06,12.005,12.0,11.95,2.0,11.75
72,-1.9985,-1.9,-1.5,-12.0,-17.0,-22.0,-27.0
63,7.11,8.0,7.0005,7.0,2.0,-13.0,-18.0
61,9.000070000000001,9.000000001,9.05,9.0,4.0,-11.0,-16.0
91,-20.5,-21.0,-26.0,-31.0,-36.0,-41.0,-46.0
77,-6.85,3.0,-12.0,-17.0,-22.0,-27.0,-32.0
70,1.5,0.009999999999999995,0.0049999999999999975,0.0,-1.5,-20.0,-25.0
69,1.0015,1.01,1.0005,1.0,-14.0,-1.0,-24.0
48,3.0,17.9,17.95,18.0,17.9,12.0,7.0
53,16.91,16.99996,17.01,17.0,12.0,7.0,2.0
73,-2.85,7.0,2.0,-13.0,-4.5,-23.0,-28.0
81,-10.85,-11.0,-16.0,-21.0,-26.0,-31.0,-36.0
49,4.0,18.0,18.999995,19.0,18.7,11.0,17.700000000000003
55,14.5,15.0,15.0005,15.0,10.0,14.9,14.999985
40,-15.0,0.0,5.0,10.0,15.0,10.1,15.0
68,2.015,2.1,7.0,2.0,-13.0,-18.0,-23.0
82,-10.5,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0
67,3.0015,4.0,3.5,3.0,-12.0,-17.0,-22.0
74,11.0,-3.9,-3.5,-14.0,-19.0,-24.0,-29.0
56,13.99997,14.02,14.005,14.0,13.95,4.0,-11.0
76,9.0,4.0,-6.5,-16.0,-21.0,-26.0,-31.0
46,1.0,15.0,15.95,16.0,19.0,15.8,15.3
59,14.0,19.0,11.5,11.0,6.0,1.0,-14.0
27,-28.0,-23.0,-18.0,-13.0,2.0,-2.0,12.0
34,-21.0,-16.0,-11.0,4.0,9.0,4.01,19.0
65,5.000015,15.0,5.5,5.0,0.0,-15.0,-20.0
64,7.299999999999999,16.0,11.0,6.0,1.0,-14.0,-19.0
32,-23.0,-18.0,-13.0,2.0,2.005,12.0,17.0
84,1.0,-14.0,-19.0,-24.0,-29.0,-34.0,-39.0
