,-15,-10,-5,0,5,10,15
50,19.9985,19.99,19.999999999499998,20.0,19.9995,19.0,20.0
48,16.5,8.0,17.99995,18.0,17.0,17.4,18.0
47,16.99985,16.9,17.000000157,17.0,17.0001,16.6,16.99999991
40,9.9975,0.0,24.08,10.0,10.000005,10.0001,10.05
37,6.75,-13.0,19.46,7.0,7.0000000000050004,7.01,7.0000011
31,-24.0,-19.0,1.9030000000000005,1.0,1.5,11.0,2.5
28,-27.0,-22.0,-17.0,-12.0,3.0,8.0,27.509800000000006
69,1.0,1.0,1.0000000005,1.00000000891,0.8500000000000001,0.8,-1.5
74,-4.0,-4.0,-4.0,-4.001,-5.5,-24.0,-4.002113
63,7.0016490000000005,7.000000000000001,7.000000005,7.0,6.5,6.98,6.999999999999975
49,18.9985,18.99,19.0,19.0,18.997,18.992,19.000848480000002
98,-28.0922,-28.0,-33.0,-38.0,-43.0,-48.0,-53.0
87,-16.95,-16.676000000000002,-22.0,-27.0,-32.0,-37.0,-19.5
81,-10.823,-11.0,-16.0,-21.0,-26.0,-31.0,-36.0
65,5.015,5.1,5.1508,5.0,0.0,-15.0,-20.0
62,8.0,8.0000000001,8.00000000001589,8.0,7.5,7.998,7.75
66,4.000000015,4.001,4.102848,4.0,-11.0,-16.0,-21.0
64,6.0,6.0,6.00000000000005,6.0,5.9999999999949996,4.0,-19.0
52,18.0,17.999994,18.0,18.0,17.99999999999995,17.0,3.0
42,23.269999999999996,2.0,11.999999995,12.0,12.000000000005,12.6,12.0001
32,-23.0,-18.0,-13.0,2.0,2.5,12.0,3.5
60,10.0005,10.0,10.000000000005,10.0,9.99995,0.0,7.5
57,13.0,13.0,13.0,13.0,12.95,3.0,-12.0
46,16.0,15.99,15.999999999949999,16.0,16.000003,15.8,9.0
43,-12.0,12.99999,8.0,13.0,13.0005,17.0,12.0
55,14.999999999949999,15.0,15.000000000050001,15.0,14.995,14.999,14.99999999999985
58,12.1,12.000005999999999,12.000000005,12.0,11.5,11.99999,11.975
54,15.9999999993,16.0,16.0,16.0,15.9995,15.9999999999,15.9999999999985
78,-7.9999985,-7.99,-8.00000005,-8.1,-23.0,-10.0,-33.0
77,-6.999999999999998,-6.99999,-7.5,-8.0,-8.5,-27.0,-32.0
44,11.5,13.0,13.999999995,14.0,14.0000000005,14.0000002,13.97
67,3.000000000015,3.0,3.0000000005,3.0,2.9999985000000002,1.0,-22.0
45,13.5,14.9999999999999,14.999999999949999,15.0,15.00000000000005,15.0,14.999999999949999
33,-22.0,-17.0,-12.0,3.0,3.000000000005,3.1,3.015
51,18.999999998699998,18.999200000000002,18.99999999997,19.0,18.99995,9.0,4.0
59,11.000000000003,11.000000008,11.0,11.0,10.9999999995,10.999,-14.0
53,16.1,16.999999996,17.000000000001002,17.0,16.995,7.0,16.9999985
71,-0.999999985,-0.999,4.0,-11.0,-1.15,-21.0,-3.5
82,-11.9985,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0
93,-22.95,-23.0,-28.0,-33.0,-38.0,-43.0,-48.0
79,-8.99999985,-8.99,-9.5,-10.0,-24.0,-29.0,-34.0
73,-2.99999985,-2.999,-2.9999995,-3.1,-18.0,-5.0,-3.25
56,13.99999999999997,14.02,14.0000000005,14.0,13.9999995,13.0,11.5
72,-1.9985,-1.9999999999,-1.99999999995,-3.0,-17.0,-22.0,-4.5
41,8.5,10.0,10.9999999995,11.0,11.05,19.0,11.3
25,-30.0,-25.0,-20.0,-15.0,0.0,-4.0,10.0
61,9.007,9.001,9.000000000000501,9.0,8.9995,8.8,-16.0
68,2.00000015,2.1,2.00000005,2.0,-13.0,0.0,-0.5
70,0.014999999999999986,0.09999999999999998,0.5,0.0,-1.5,-20.0,-25.0
39,-16.0,-11.0,8.5,9.0,9.5,19.0,9.07
92,-21.5,-22.0,-27.0,-32.0,-37.0,-42.0,-47.0
86,-15.995,-16.0,-21.0,-26.0,-31.0,-36.0,-41.0
84,-13.999985,-14.0,-14.5,-24.0,-29.0,-34.0,-39.0
38,-17.0,-12.0,7.5,8.0,8.5,8.00000000000001,8.00009
36,5.999999975,-14.0,5.95,6.0,11.0,7.0,19.0
23,-9.5,-27.0,-22.0,-17.0,-12.0,3.0,-6.99999985
35,2.5,-15.0,0.0,5.0,5.05,15.0,6.5
75,-3.5,-4.9,0.0,-15.0,-20.0,-25.0,-30.0
94,-19.0,-24.0,-29.0,-25.0,-39.0,-44.0,-49.0
27,-28.0,-23.0,-3.0015,-13.0,2.0,7.0,12.0
21,-34.0,-29.0,-10.5,-19.0,-14.0,1.0,-8.985
85,0.0,-15.0,-15.5,-25.0,-30.0,-35.0,-40.0
76,-5.99985,4.0,-11.0,-16.0,-21.0,-26.0,-31.0
30,-25.0,-20.0,-15.0,0.0,0.5,10.0,1.5
34,-21.0,-16.0,-11.0,4.0,4.5,14.0,19.0
83,-11.5,-13.0,-18.0,-14.0,-28.0,-33.0,-38.0
15,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,0.0
