,-15,-10,-5,0,5,10,15
50,20.0,20.0,20.0,20.0,20.0,19.99999999999,20.0
51,19.0,19.0,19.0,19.0,19.0,19.0,19.0
52,17.99999999999999,17.9999999994,18.0,18.0,18.0,17.999999999998998,17.99985
49,19.0,19.0,19.0,19.0,19.0,18.999999999999993,19.0
47,16.999999999985,16.99999999999,17.0,17.0,17.0,16.9999999999996,16.999999991
59,11.0,11.0,11.0,11.0,11.0,10.99999999,11.0
64,6.0,6.0,6.0,6.0,6.0,6.0,6.0
70,1.6889999999999902e-26,9.999999999999956e-22,4.999999999999948e-32,0.0,-1.4999999999999948e-10,-0.00019999999999999987,-0.0024999999999999988
56,14.0,14.0,14.0,14.0,14.0,14.0,13.999999999999998
74,-4.0,-4.0,-4.0,-4.0000000000001,-4.000000000000015,-4.000002,-6.5
85,-15.0,-15.0,-15.000000000000501,-16.0,-15.015,-35.0,-40.0
69,1.0,1.0,1.0,1.0,1.0,0.99998,0.99975
54,16.0,16.0,16.0,16.0,16.0,16.0,16.0
40,10.000000096499999,9.9,9.9999999995,10.0,10.0,10.000000000010001,10.000000000050001
30,-2.5,-20.0,-15.0,0.0,5.0,0.0015579999999999986,1.5
48,17.985,17.0,17.99995,18.0,17.9999999999999,18.00000001074,16.9
71,-1.0,-1.0,-1.0,-1.0001,-1.0000015,-1.00000000002,-3.5
66,4.0,4.0,4.0,4.0,3.99999985,3.9999999999999982,3.975
62,8.000000000000009,8.0,8.0,8.0,7.9999999999949996,7.8,7.975
60,10.0,10.0,10.0,10.0,9.999999999999995,9.99999,9.99975
46,15.9999999999985,16.0,16.0,16.0,16.0,15.9999998,16.0
36,3.5,5.98,5.999995,6.0,6.000000000000005,6.0000000001,6.000000000000002
80,-10.0,-10.0,-10.0,-10.00001,-10.015,-30.0,-10.25
61,9.0,9.0,9.0,9.0,9.0,8.999999999998,8.9999999975
76,-6.0,-6.0,-6.0,-6.1,-6.15,-6.002,-6.25
72,-1.99999999999985,-2.0,-1.99999995,-2.01,-2.15,-4.0,-2.25
75,-5.0,-5.0,-5.0,-5.00000001,-5.00000015,-25.0,-5.25
45,14.9999999999985,15.0,14.99999999999995,15.0,15.000000000050001,15.0,14.99999995
