,-15,-10,-5,0,5,10,15
50,19.99985,20.0,20.0,20.0,20.0,19.99999,19.85
41,10.975,12.439,10.999999995,11.0,11.000000000005,11.1619,11.00003
34,-21.0,4.367,-11.0,4.0,9.0,14.0,5.5
22,-33.0,-28.0,-23.0,-18.0,-13.0,-7.0,8.08
37,-18.0,7.00772,6.9995,7.0,7.0005,7.01,7.01568
53,16.9999991,16.96,17.0,17.0,16.9995,16.9999,16.99985
48,16.5,18.01358,17.99995,18.0,17.999999999,17.994,17.9989
43,-12.0,14.737079999999999,12.99995,13.0,13.00005,17.0,12.9999
27,-5.5,-23.0,-18.0,-13.0,-2.999995,7.0,-2.9779341
61,9.000070000000001,9.001,9.00005,9.0,4.0,9.367,8.99999999999975
78,-6.5,-6.6850000000000005,-8.000005,-18.0,-9.5,-28.0,-33.0
70,1.6079999999999968e-05,1.0,4.999999999999988e-11,0.0,-15.0,-20.0,-25.0
58,12.0000001468,12.000000006,12.005,12.0,11.95,11.99,11.75
42,9.5,11.99999,11.999995,12.0,12.000000283559,12.0006,12.0001
65,5.015,5.1,5.0005,5.0,5.0436,-15.0,-20.0
79,-8.98554,-8.0,-9.5,-19.0,-24.0,-29.0,-34.0
69,1.00001689,1.000001,1.00000005,1.0,-0.5,-19.0,-24.0
56,14.000000001509001,14.0,14.00000005,14.0,13.95,13.99,13.99975
46,1.0,15.999,15.999999999995,16.0,16.0,15.98,16.000001469
49,17.5,18.99999999,18.99999995,19.0,18.7,11.0,17.700000000000003
32,1.75,-18.0,-13.0,2.0,7.0,2.00001,2.000015
18,-37.0,-32.0,-27.0,-22.0,-17.0,-12.0,-10.5
35,-20.0,-15.0,0.0,5.0,5.0005,6.0,5.015
68,2.15,2.0000000000001,2.00000005,2.0,-13.0,-18.0,-0.5
67,3.0000000015,3.001,3.0005,3.0,-12.0,-17.0,-22.0
52,17.89,17.99999999994,18.0,18.0,17.995,17.0,16.5
51,18.9987,18.999992,18.9999997,19.0,18.99995,18.999,17.5
47,16.85,16.9,17.0,17.0,17.1,16.996,16.9991
64,6.000000013,6.000001,6.0000005,6.0,1.0,-14.0,-19.0
39,-16.0,8.9999998,4.0,9.0,9.5,10.0,9.07
62,8.0009,8.0000001,8.0005,8.0,3.0,-12.0,-17.0
38,-17.0,-12.0,7.5,8.0,8.5,8.01,8.009
66,4.000015,4.0000001,4.5,4.0,-11.0,3.98,1.5
55,14.95,15.0,15.000000000005,15.0,14.999999995,14.0,0.0
30,-25.0,-20.0,-15.0,0.0,5.0,10.0,1.5
74,-3.9999985000000002,-3.99,-3.5,-5.0,-5.5,-24.0,-29.0
54,15.93,15.9998,16.00000000003,16.0,11.0,15.0,15.985
60,10.5,10.000000000001,10.000000005,10.0,9.9999995,9.99,7.5
83,-12.99999985,-13.0,-13.05,-23.0,-28.0,-13.0000002,-15.5
45,0.0,14.0,14.999995,15.0,15.00005,15.0,14.9995
57,12.9999999999,13.0000000004,13.00005,13.0,12.995,12.0,10.5
63,7.0000000011,7.000001,7.000000000000001,7.0,6.999995,5.0,6.75
71,14.0,9.0,-0.5,-11.0,-16.0,-21.0,-1.25
93,-22.995,-23.0,-28.0,-33.0,-38.0,-43.0,-48.0
80,-9.99985,-9.99,-15.0,-20.0,-25.0,-30.0,-35.0
59,11.03,11.0008,11.000005,11.0,10.95,1.0,-14.0
73,-2.99985,-2.999,-2.95,-4.0,-18.0,-5.0,-28.0
75,-4.999985,-4.999,-4.5,-15.0,-20.0,-25.0,-30.0
36,-19.0,5.98,5.5,6.0,11.0,16.0,7.299999999999999
95,-24.999995,-25.0,-25.5,-35.0,-26.5,-45.0,-50.0
40,-15.0,9.0,5.0,10.0,15.0,10.01,15.0
33,-22.0,-17.0,-12.0,3.0,8.0,3.001,18.0
77,-6.85,3.0,-12.0,-17.0,-22.0,-27.0,-32.0
28,-27.0,-22.0,-17.0,-12.0,-1.5,8.0,-0.5
44,-11.0,13.0,13.95,14.0,14.5,16.0,11.0
103,-32.5,-33.0,-38.0,-43.0,-48.0,-53.0,-58.0
87,-16.95,-17.0,-17.5,-27.0,-32.0,-37.0,-42.0
84,1.0,-14.0,-19.0,-24.0,-29.0,-34.0,-39.0
76,-5.985,4.0,-6.5,-16.0,-21.0,-26.0,-31.0
29,-26.0,-21.0,-16.0,-2.0,4.0,0.0,14.0
82,-10.5,-12.0,-17.0,-22.0,-27.0,-32.0,-37.0
81,4.0,-11.0,-16.0,-21.0,-26.0,-11.2,-36.0
91,-16.0,-21.0,-26.0,-31.0,-36.0,-41.0,-46.0
17,-38.0,-33.0,-28.0,-23.0,-13.5,-13.0,2.0
23,-32.0,-27.0,-22.0,-17.0,-12.0,3.0,-6.85
85,-14.85,-15.0,-20.0,-25.0,-30.0,-17.0,-40.0
88,-13.0,-18.0,-18.5,-28.0,-33.0,-38.0,-43.0
97,-26.5,-27.0,-32.0,-37.0,-42.0,-47.0,-52.0
105,-34.5,-35.0,-40.0,-45.0,-50.0,-55.0,-60.0
99,-28.5,-29.0,-34.0,-39.0,-44.0,-49.0,-54.0
89,-18.5,-19.0,-24.0,-29.0,-34.0,-39.0,-44.0
12,-43.0,-38.0,-33.0,-28.0,-23.0,-18.0,-13.0
72,-0.5,8.0,3.0,-12.0,-17.0,-22.0,-27.0
