,-25,-5,0,5,10,15
50,20.0,20.0,20.0,20.0,20.0,20.0
51,20.0,20.0,20.0,20.0,20.0,20.0
62,19.998,20.0,20.0,20.0,19.9999999999998,19.9999999999998
73,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0
84,-24.0,-23.9999976,-23.99999976,-23.999999976,-23.76,-24.0
100,-40.0,-40.0,-39.999999999959996,-40.0,-40.0,-40.0
111,-51.0,-51.0,-50.99999999949,-50.9949,-50.949,-51.0
91,-31.0,-31.0,-30.99999999969,-31.0,-31.0,-31.0
106,-46.0,-45.99999999999954,-46.0,-45.9999999999954,-46.0,-45.999999999954
86,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0
103,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0
110,-50.0,-50.0,-49.99999999999999,-50.0,-49.9999999995,-49.999999999995
115,-55.0,-54.99999945,-55.0,-55.0,-55.0,-54.999999945
112,-52.0,-46.800000000000004,-51.999999948,-51.999948,-51.999999948,-51.480000000000004
114,-53.9946,-53.9999946,-53.9999946,-53.99999999999946,-53.9999999946,-53.9999946
126,-65.99999999999993,-65.99999999999935,-65.9999934,-65.9934,-65.99999999999935,-65.934
123,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0
138,-78.0,-78.0,-78.0,-78.0,-78.0,-78.0
143,-83.0,-83.0,-83.0,-83.0,-83.0,-83.0
135,-67.5,-74.99999925,-74.999925,-74.99925,-74.99999925,-74.9925
52,19.999999998,20.0,20.0,19.9999999998,20.0,20.0
53,20.0,20.0,20.0,20.0,20.0,20.0
54,19.9999998,20.0,20.0,20.0,19.999999998,19.999998
55,19.999998,20.0,20.0,20.0,19.999999999998,19.9999999998
56,20.0,20.0,20.0,20.0,20.0,20.0
61,20.0,20.0,20.0,20.0,20.0,20.0
66,20.0,20.0,20.0,20.0,20.0,20.0
71,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0
90,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0
120,-60.0,-59.94,-59.99999999999999,-59.94,-59.99999999999999,-59.999994
122,-55.800000000000004,-61.9999999938,-61.38,-61.9999938,-61.999999999999936,-62.0
139,-79.0,0.0,-78.999921,-78.921,-78.999999921,-78.921
116,-55.999999944,-56.0,-55.999944,-55.999999999944,-55.999999439999996,-55.99999999999944
133,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0
158,-98.0,-98.0,-98.0,-98.0,-98.0,-98.0
168,-108.0,-108.0,-108.0,-107.99999999999892,-108.0,-108.0
188,-127.99999999872,-128.0,-127.9999999999872,-128.0,-127.999999872,-128.0
193,-132.9999999999867,-132.9999999999867,-132.99999999999986,-133.0,-132.999999999867,-132.99999999999866
205,-130.5,-130.5,0.0,-130.5,0.0,0.0
36,19.998,19.98,20.0,19.98,19.98,18.0
16,-23.9976,-21.6,-23.99976,-23.76,-23.976,-21.6
-4,-39.6,-43.956,-43.956,-39.6,-43.56,-39.6
13,-24.3,-26.973,-24.3,-26.973,-24.3,-24.3
25,-14.85,-14.9985,-14.9999985,0.0,-14.985,-14.85
35,19.998,19.99998,20.0,19.99999998,19.98,19.8
60,19.999998,20.0,20.0,20.0,20.0,19.999999999979998
77,-16.983,-16.9999983,-17.0,-16.99999999999983,-17.0,-17.0
94,-34.0,-33.99966,-34.0,-34.0,-33.999999966,-33.66
98,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0
108,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0
128,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0
88,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
65,19.999998,20.0,20.0,20.0,19.9999998,20.0
76,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
85,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0
117,-51.300000000000004,-56.999430000000004,-57.0,-56.999430000000004,-56.999999943,-56.9943
129,-69.0,-68.931,-68.99999999931,-62.1,-62.1,-62.1
146,-77.4,-85.999914,-77.4,-77.4,-85.914,-85.9914
28,-11.99988,-11.9999988,-11.99999999988,0.0,-11.99988,-11.9988
29,-9.9,-10.989,-10.999999999999998,-9.9,-10.89,-10.99999989
1,-38.61,-38.961,-35.1,-38.961,-38.61,-35.1
-10,-45.0,-45.0,0.0,-45.0,-49.5,0.0
5,-31.5,0.0,-34.65,-34.965,-31.5,-31.5
2,0.0,0.0,0.0,-37.962,0.0,-34.2
19,-18.900000000000002,-20.79,-20.79,-18.900000000000002,-20.979,0.0
21,0.0,-17.1,-18.9999981,-18.99981,-18.81,-18.999981
38,19.998,19.99999998,20.0,19.999998,19.998,18.0
23,-16.999983,-16.9983,-16.999983,-16.999983,-16.983,-16.83
8,0.0,0.0,-31.9968,0.0,-31.68,-31.9968
30,19.999999998,19.9998,19.999999999979998,19.999998,19.99998,19.998
58,19.998,20.0,20.0,20.0,19.9999999998,19.99999998
59,19.9998,19.99999999999998,20.0,19.99999999999998,19.98,19.98
81,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0
101,-40.9999999999959,-40.99999999999959,-41.0,-40.9999999999959,-41.0,-41.0
125,-64.99999935,-64.99999935,-65.0,-64.935,-65.0,-64.9999935
142,-81.18,-81.18,-81.99999918,-81.918,0.0,-73.8
144,-83.9916,0.0,-83.999916,-83.99916,-83.99916,-83.999916
161,-100.99899,-100.99899,-90.9,-100.899,-99.99,-100.9899
163,-103.0,-103.0,-103.0,-103.0,-103.0,-103.0
213,-152.999999999847,-152.99999847,-137.70000000000002,-152.9999847,-152.847,-152.999999847
198,-137.99999999999986,-137.99999999999986,-137.99999999999986,-137.99862,-137.9999999862,-137.999862
218,-156.42000000000002,-157.999842,-157.9842,-157.842,-157.9842,-157.9999999842
220,0.0,0.0,0.0,0.0,-144.0,0.0
6,-33.9966,-30.6,-33.99966,-33.966,-30.6,-33.66
-14,0.0,0.0,-48.6,-53.46,0.0,-53.46
-9,-44.1,-44.1,0.0,0.0,-48.51,-48.951
-17,0.0,-51.300000000000004,0.0,-51.300000000000004,0.0,0.0
-20,0.0,0.0,-54.0,-54.0,-54.0,0.0
-5,0.0,0.0,-44.55,-40.5,0.0,0.0
12,0.0,0.0,0.0,-25.2,-25.2,-25.2
26,-13.999999986,-13.99999999986,-13.99999999986,-13.999999859999999,-13.9999999999986,-13.999999986
70,19.999998,20.0,20.0,20.0,19.999999999998,20.0
75,-15.0,-15.0,-15.0,-15.0,-14.999985,-15.0
72,-11.9999999988,-12.0,-12.0,-11.99999988,-11.999999999999998,-11.9999988
89,-29.0,-29.0,-28.9999999999971,-28.999971,-28.971,-28.9971
113,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0
153,-93.0,-93.0,-93.0,-93.0,-93.0,-93.0
160,0.0,-99.0,0.0,-99.999,0.0,-99.999
80,-20.0,-20.0,-20.0,-20.0,-20.0,-19.999999999979998
