,-25,-5,0,5,10,15
50,19.999999999979998,20.0,19.999999999998,20.0,19.999998,19.999999999999996
46,15.999999999984,16.0,15.99999999984,16.0,15.999999999999998,16.0
42,11.99988,12.0,11.99999999988,12.0,11.99999999988,12.0
38,7.99999999999992,8.0,7.9999991999999995,8.0,7.999999992,8.0
34,3.999996,4.0,3.99999999996,3.999999999996,3.96,3.99996
30,0.0,0.0,0.0,0.0,0.0,0.0
26,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
66,3.996,4.0,3.999996,4.0,3.99999996,3.9999999996
83,-12.999999999999988,-13.0,-12.999999999869999,-12.999999999869999,-12.999999999999998,-12.999999999869999
100,-29.9997,-29.9997,-29.99997,-27.0,-29.97,-27.0
115,-44.955,-44.55,-44.55,-44.55,-40.5,-44.955
140,-63.0,0.0,0.0,0.0,-69.3,-63.0
117,-42.300000000000004,0.0,0.0,-42.300000000000004,0.0,0.0
124,-53.46,0.0,-48.6,0.0,0.0,0.0
101,-30.9969,-30.69,-30.969,-27.900000000000002,-30.969,-30.969
103,-32.9999967,-32.999999967,-32.9999999967,-32.99967,-32.9999999967,-32.999999999967
128,-57.99999942,-57.9999942,-57.999999942,-57.99999942,-57.999942,-57.42
143,-72.99927,-72.999999927,-72.999927,-72.9927,-72.99927,-72.999927
163,-92.07,-83.7,-92.9907,-92.99907,-92.07,-92.9999907
178,-106.92,-97.2,-107.9892,-106.92,-97.2,-97.2
158,-87.999912,-87.9999999912,-87.912,-87.12,-87.99912,-87.9912
155,-76.5,-76.5,0.0,0.0,0.0,0.0
53,16.999983,17.0,16.999983,17.0,16.999999999999982,16.999999999983
64,5.999994,6.0,5.99994,5.999999999994,5.4,5.4
75,-4.9995,-5.0,-4.999999999999999,-4.9999999995,-4.9999995,-4.999999995
86,-15.99984,-15.9999999984,-15.9984,-15.999998399999999,-15.99999984,-15.99984
121,-50.49,-50.9949,-50.49,-45.9,-45.9,0.0
118,-47.99952,-47.99952,-47.99999999999952,-47.999952,-47.9999952,-47.99952
130,-59.994,0.0,0.0,0.0,-54.0,0.0
152,0.0,0.0,-73.8,-81.18,0.0,0.0
