,-25,-5,0,5,10,15
50,20.0,19.99998,19.9998,20.0,19.98,19.998
26,-4.0,-3.999996,-3.999999996,-3.999999996,-3.999996,-3.999996
2,-27.9972,-27.999999972,-27.9999999972,-28.0,-27.99999999972,-27.999999719999998
-2,-31.999999968,-31.968,-31.999996799999998,-31.9968,-31.999996799999998,-31.999996799999998
-1,-27.900000000000002,0.0,0.0,0.0,0.0,-27.900000000000002
15,-14.9985,-14.85,-14.999985,-14.999985,-14.99999999985,-14.99985
16,-14.0,-13.9999986,-13.9999986,-13.99986,-13.999986,-13.9999986
31,0.9999,0.999,0.99,0.999999999,0.9,0.999
41,10.989,10.989,10.89,10.99999989,10.99999989,9.9
51,18.981,17.1,18.81,18.999999999981,18.99981,0.0
58,0.0,11.88,11.999999999988,11.999999999999988,10.8,11.988
75,-4.995,0.0,-4.995,-4.99999999995,-4.5,-4.5
90,-18.0,-19.9999999998,-18.0,-19.98,-18.0,-19.998
110,-36.0,-36.0,-36.0,-39.6,0.0,0.0
112,0.0,-41.9958,0.0,-37.800000000000004,-41.958,-37.800000000000004
109,0.0,0.0,-38.99961,-38.61,0.0,-38.61
111,-36.9,-40.9959,-36.9,-40.59,-40.959,-36.9
118,-47.999952,-47.999952,-47.952,-47.999952,-47.99952,-47.9999952
143,-72.999927,-72.27,-72.999927,-65.7,-72.99927,-65.7
163,-92.07,-92.07,-83.7,-92.907,-83.7,-92.99990700000001
173,0.0,-92.7,-101.97,-92.7,-92.7,-102.999897
188,-106.2,0.0,0.0,-106.2,-116.82,0.0
203,0.0,-119.7,-131.67,-119.7,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,6.3,6.3,6.3,0.0,6.93
33,2.997,2.999999997,2.9997,2.9999997,2.999999997,2.99999999997
29,-0.999,-0.99,-0.99,-0.999,-0.99,-0.9999
25,-4.99995,-4.99999995,-4.99999995,-4.99995,-4.999995,-4.95
1,-29.0,-28.99999999999997,-28.99999999971,-28.99999999971,-28.9999999971,-28.99999999971
11,-18.999999999999982,-18.999981,-18.99999981,-18.981,-18.99981,-18.99981
-9,-38.999961,-38.61,-38.61,-38.99999961,-38.99999999961,-38.999999961
6,-23.9999976,-23.9976,-23.999999976,-23.99999976,-23.9976,-23.999976
-17,-46.953,-46.9999953,-46.953,-46.53,-46.9999953,-46.953
-20,-50.0,-49.99995,-49.9995,-49.999999995,-49.5,-49.5
5,-24.75,-24.75,-24.99975,-24.99999999975,-24.999999975,-24.9999975
-10,-40.0,-36.0,-39.99996,-39.96,-39.99999999999999,-39.9999996
7,-22.77,-22.977,-22.77,0.0,-22.77,-22.977
-16,-45.54,-46.0,-46.0,-46.0,-41.4,-45.54
-14,-43.9956,-43.99956,-43.9956,-43.9956,-43.99999999999996,-43.9999956
3,-26.99999999999973,-26.73,-26.999973,-26.99973,-26.999973,-26.9999999999973
23,-6.99993,-6.9999993,-6.9999999299999995,-6.9999999299999995,-6.9999993,-6.9993
43,11.700000000000001,12.9987,12.99987,12.999999999999998,11.700000000000001,12.9999987
48,17.82,17.9999999999982,17.9999982,17.99999999999982,0.0,16.2
53,16.83,16.99999999983,16.999999999999982,17.0,16.983,16.99999983
55,13.5,14.9985,14.99985,14.999985,14.85,14.85
19,-10.999989,-10.999999988999999,-10.89,-10.9989,-10.89,-10.9989
-5,-34.999965,-34.65,-34.9999999999965,-34.99965,-34.9999965,-34.965
-12,-41.58,-41.9958,-41.58,-41.999999958000004,-41.999958,-41.9958
30,0.0,0.0,0.0,0.0,0.0,0.0
42,10.8,0.0,10.8,11.999999988,10.8,10.8
49,0.0,0.0,17.1,18.9999981,17.1,17.1
56,13.9999986,13.86,13.999986,14.0,12.6,13.986
63,6.993,6.99993,6.9999999999993,7.0,6.3,6.3
78,-7.92,-7.9992,-7.99992,-8.0,-7.992,-7.9999991999999995
93,-22.999999977,-22.999999999977,-22.99977,-22.9999977,-22.99999977,-22.999977
113,-42.99957,-42.999957,-42.999957,-42.999957,-42.999999957,-42.99957
103,-32.967,-32.999999967,-32.99967,-32.9967,-32.99999999967,-32.9967
105,0.0,-34.65,-34.65,-34.9965,0.0,0.0
4,-25.740000000000002,-25.99974,0.0,-25.99999974,-25.740000000000002,-25.740000000000002
20,-9.99999999,-10.0,-9.9,-9.9,-9.0,-9.9
28,-1.998,-1.9999997999999999,-1.99998,-1.99998,-1.9999999998,-1.8
35,4.999995,4.995,4.95,4.95,4.99995,4.995
67,0.0,2.7,0.0,2.997,2.7,2.7
79,-8.991,-8.91,0.0,-8.91,-8.1,-8.91
91,-18.900000000000002,-20.79,0.0,-18.900000000000002,-20.79,-18.900000000000002
88,-17.9999999999982,-17.982,-17.999982,-17.982,-17.999999999819998,-17.999982
98,-27.9999972,-27.9999972,-27.999999972,-27.999972,-27.972,-27.972
123,-52.947,-52.47,-52.999947,-52.99999947,-52.947,-52.99947
133,-62.99999937,-62.937,-62.9937,-62.9937,0.0,-62.999937
153,-74.7,0.0,-82.17,-82.917,-82.9917,-82.17
130,0.0,0.0,-54.0,0.0,0.0,0.0
9,-20.99979,-18.900000000000002,0.0,-20.99979,-20.79,0.0
-15,-44.9999955,-44.9999955,-44.999955,-44.99999999955,-45.0,-44.55
-29,-58.999999941,-58.9941,-58.999941,-58.41,-58.41,-58.941
-27,-56.943,-56.43,-56.999430000000004,-56.943,-56.999999943,-56.43
-50,-72.0,0.0,-72.0,-72.0,-79.92,-72.0
-40,-69.93,-63.0,-69.3,-69.993,0.0,0.0
-55,-76.5,-84.915,-76.5,0.0,-84.15,0.0
-58,-79.2,0.0,0.0,0.0,0.0,0.0
-81,0.0,0.0,0.0,0.0,-99.9,0.0
-69,0.0,0.0,-89.10000000000001,-89.10000000000001,0.0,-89.10000000000001
-62,-91.908,0.0,0.0,-82.8,0.0,-91.08
-77,-96.3,-96.3,0.0,0.0,-105.93,-96.3
-57,-78.3,0.0,-78.3,-78.3,-78.3,0.0
-52,-81.918,-73.8,0.0,0.0,-73.8,-81.918
-35,0.0,-58.5,-64.9935,-64.35,-64.35,-58.5
-22,-51.999948,-51.99948,-51.948,-51.9948,-51.99948,-51.99999948
-19,-49.0,-48.9999999999951,-48.9999999951,-48.9999951,-48.9999951,-48.9999999951
10,-18.0,-19.99998,-19.9999998,-19.8,-19.98,-19.999998
40,9.0,9.999999,9.0,9.99,0.0,9.99
17,-12.987,-12.99987,-12.987,0.0,-12.9987,0.0
-6,0.0,0.0,-35.64,-35.9964,0.0,-35.64
8,-22.0,-21.99999978,-21.9999978,-21.999978,-21.999999999978,-21.99999978
-37,-60.300000000000004,-66.33,-66.999933,-60.300000000000004,-60.300000000000004,-66.33
-30,0.0,-59.94,-59.4,-54.0,-59.94,-59.99994
14,-15.984,-15.84,0.0,-15.999984,-14.4,-15.84
21,-8.991,-8.999991,-8.99991,-8.99991,-8.9991,-8.999999999909999
18,-11.999988,-11.9999988,-11.88,-11.999988,-11.999999988,-11.999988
13,-16.99999999983,-16.99983,-16.9983,-16.99999983,-16.9983,-16.999983
62,0.0,7.2,0.0,7.9999999992,0.0,7.92
69,0.0,0.0,0.0,0.99999,0.0,0.0
76,-5.94,-5.4,-5.94,-5.99999999994,-5.94,-5.9994
83,-12.99987,-12.99987,-12.999987,-12.999999999869999,-12.999987,-12.999999999999998
